#{"t_start": 1638265052.0500662, "env_id": "PathColav3d-v0"}
r,l,t
-1177.627284,1,3.023427
-4134.324445,2,3.039383
-5883.992716,3,3.061324
-1415.051011,1,3.068305
-2112.510161,2,3.083266
-4090.11349,1,3.091248
-2280.927788,1,3.099223
-2098.290715,1,3.106204
-2191.030342,1,3.114183--1291.059001,2,3.13014
-3071.816526,1,3.140113
-2638.139504,2,3.153078
-5482.000028,1,3.161058
-1413.290708,2,3.173026
-2437.480082,2,3.18599
--6531.794836,3,3.204941--5858.699407,2,3.216908--1080.436879,1,3.223889
-1773.70145,1,3.231868--3939.823471,2,3.24683
-1680.467296,1,3.252811
-3623.599861,2,3.26877
-5596.526146,2,3.282732
-1879.116235,2,3.296695
-2436.040884,1,3.312651
-2143.861646,1,3.320631
-3932.663458,1,3.326617
-1016.914001,1,3.334593
-1656.850694,1,3.341581-1722.463389,2,3.346561
-3547.568839,2,3.360556
-2776.989631,3,3.379474
--3358.723255,2,3.397425--4978.142224,2,3.412385-4154.79555,3,3.423357
-1717.436759,1,3.431334
-5766.658029,1,3.441308
-2-4246.2688,2,3.451281
-1691.548165,2,3.468236
-1099.248802,1,3.475224--1842.972379,2,3.488182-7003.77338,1,3.494166
-3-6257.101961,2,3.511122-2-3798.646207,1,3.517105-26-3582.253415,1,3.524086-1456.199927,2,3.535057
-3312.951122,1,3.542038
-72-2033.729511,1,3.551014-2004.19609,1,3.557004
-1308.814456,1,3.564978
-4970.125186,1,3.57196
-1435-3517.100216,1,3.5809-1031.040784,1,3.585921
-2767-3687.247438,1,3.5958-1705-4214.40911,2,3.60886-3400.210896,3,3.61983
-4853.053062,2,3.635789
-204-4398.748369,2,3.64576-410-2293.579205,2,3.66072-408-1028.894937,1,3.66869-271-1371.838122,1,3.67667-372-3433.462522,3,3.698621
-1227.230286,1,3.70560-1294.713187,3,3.718566
-1045.470112,2,3.736519
-3721.6945,1,3.747489
-4645.271804,1,3.757462
-3568.142572,1,3.763446
-2442.256895,2,3.776411
-5381.266178,1,3.784389
-1417.093789,1,3.791372
-2497.088717,2,3.806332
-5181.322818,2,3.820294
-5096.749412,2,3.831269
-2585.937969,1,3.840241
-2344.153439,1,3.848219
-1925.457666,2,3.861186
-2087-2750.88313,3,3.883126
-1922.682172,2,3.897089
-1388.953343,2,3.908062
-2762.845942,1,3.915042
-3143.623776,1,3.923021
-3427.219841,1,3.93
-1511.228545,1,3.937979
-1086.275018,1,3.944994
-2444.999687,1,3.951944-1-1529.379921,1,3.962915-1-1205.694201,1,3.970892-1-3613.249336,2,3.985851
-5040.374421,1,3.991873
-5473.540102,1,3.999815
-1690.236842,2,4.014774
-1072.820134,2,4.029735
-1093.726505,1,4.03871
-2497.244471,1,4.048683-5629.681088,3,4.052672
-5737.795496,2,4.06863
-2-1116.377219,3,4.08462--5734.833082,1,4.09157
