,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\F_4$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
0,0.05,-6.0383178259889565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5004572500213981,0.1344335451722145,0.301439194008708,-0.011926829069852827,0.0022034738212823868,0.0039955023676157,0.06249131262302399,0.0308822114020586,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,-6.0383178259889565,0.0,0.0250228625010699,0.006721677258610725,0.0150719597004354,-0.0005963414534928546,0.0,0.0,0.9371307583004237,0.18504123815153228,0.19236000249899926,-0.07632413059473038,-0.08341801352798939,-0.17985733598470688,-0.1052178181707859,-0.16977174952626228,0.75,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
2,0.15000000000000002,-6.037611836773203,-0.00031537322035592023,0.07187302007114581,0.01591719285386617,0.024715393666522534,-0.004348239307685908,-0.0073925163400866845,0.0032965834006765866,1.380285320195235,0.19223670928665085,0.2649791270178021,-0.12171147018671036,-0.09716206043958664,-0.14720984548330307,-0.0824970044195652,-0.14591756835579872,0.75,-0.13372692082176585,0.0,-0.4974019510347578,0.0250228625010699,0.0,0.0,0.0
3,0.2,-6.0362800322046475,-0.0012548317944854103,0.14086922590121095,0.025383822373819864,0.03805953285172059,-0.010223959135729377,-0.019514182757524673,0.011101252473192626,1.8196206510960926,0.19657667465522166,0.26031579090905677,-0.17140300869941713,-0.09597531706094742,-0.15871182829141617,-0.09667401015758514,-0.15816634520888329,0.7536962581700434,-0.19558483600643956,-0.00031537322035592023,-0.5001068650536877,0.07187302007114581,0.0,0.0,0.0
4,0.25,-6.033811819926463,-0.003034473825654591,0.23180628759756805,0.03489900696231052,0.05128864915077802,-0.018466963060347563,-0.03817787704563037,0.023541664721929655,2.259381540319732,0.18591474432351238,0.25194513447209066,-0.21437048166990283,-0.09804173558950424,-0.15113038569688797,-0.09937892854213715,-0.15370896086096764,0.7597570913787624,-0.19898055861184816,-0.0012548317944854103,-0.5042885546232757,0.14086922590121095,0.0,0.0,0.0
5,0.30000000000000004,-6.029979859887042,-0.0058710599967298945,0.3446969941401274,0.043667421379911975,0.0642522252167721,-0.028752943830499866,-0.06332393151338778,0.0406336479560115,2.699836171068956,0.15875804702773072,0.246678431428779,-0.2503598302602768,-0.09993450343608856,-0.14226286858320236,-0.10058929771184921,-0.1482343040406704,0.7690889385228152,-0.20315797146097164,-0.003034473825654591,-0.5111117075574519,0.23180628759756805,0.0,0.0,0.0
6,0.35000000000000003,-6.024587870085456,-0.009890861067256096,0.47957363613563747,0.05083531637826155,0.07712084393075003,-0.040745328771297995,-0.09481796781468156,0.06200152869222875,3.1411218162619994,0.12423111334878204,0.246445152480494,-0.2803313791751862,-0.10078221559524536,-0.13430976122617722,-0.1004314050078392,-0.14183273166418076,0.7816619657566939,-0.20453974594995558,-0.0058710599967298945,-0.5205546400496863,0.3446969941401274,0.0,0.0,0.0
7,0.4,-6.017422958639167,-0.015071502898080347,0.636482932377549,0.05601353755800087,0.09013941307726547,-0.05415752008626784,-0.13260825534592308,0.08685143073351581,3.5829935210825603,0.08718412857755337,0.24924662651497376,-0.30559236556291586,-0.10101266205310822,-0.1280844882130623,-0.10010410845279694,-0.13618474826216698,0.7974089839073408,-0.20032215366234116,-0.009890861067256096,-0.5325397006797539,0.47957363613563747,0.0,0.0,0.0
8,0.45,-6.0082254418729155,-0.02127226510768748,0.8154644480842536,0.0590569323582395,0.10343761712356381,-0.06877482374267663,-0.1767617886526291,0.11420022272119586,4.025199896798254,0.04959849307517086,0.25379260324588754,-0.3271270707249642,-0.10096896439790726,-0.12316013127565384,-0.09979334101080894,-0.1314389370381832,0.8163041276729616,-0.1904156617997183,-0.015071502898080347,-0.5468430793841494,0.636482932377549,0.0,0.0,0.0
9,0.5,-5.996689925819272,-0.02826034661431213,1.0165475158975026,0.05991964466969213,0.11707051943504032,-0.08443740223360185,-0.22740751434591816,0.1429960745236377,4.467541217223374,0.012261373214450415,0.25954075078355915,-0.3456566020846368,-0.10079113394021988,-0.11914828419685364,-0.09947925433516502,-0.12744593247771263,0.8383808943263146,-0.1756292070589141,-0.02127226510768748,-0.5631623967719392,0.8154644480842536,0.0,0.0,0.0
