#{"t_start": 1636577499.7024722, "env_id": "PathColav3d-v0"}
r,l,t
-1198.028403,7,10.459351
-1979.68515,4,10.509813
-1286.883726,2,10.535452
-1196.214712,6,10.597937
-3374.49441,2,10.620068
-1814.06178,4,10.666942
-2209.918488,3,10.698184
-28-1227.214067,4,10.720311-1109.481097,5,10.767183
-1499.127985,4,10.820564
-1034.705244,4,10.851817
-1330.358902,4,10.898721
-1-1562.215953,9,10.971479
-1064.124399,3,10.995178-1-1395.315641,5,11.052059
-1073.737308,2,11.0833
-1264.485176,5,11.136694--1812.122034,4,11.172457
-2162.377706,10,11.299445
-1077.588649,2,11.321585
-1161.754424,5,11.368468
-1016.367403,4,11.421634
-1096.417538,6,11.484128
-1516.967507,4,11.537508
-1044.611788,9,11.622036
-1085.591476,6,11.684528
-1087.576175,8,11.769153
-1094.790737,7,11.853793
-1020.758993,6,11.92277
-1356.001942,8,11.994369
-3082.602735,3,12.038621
-2380.470871,2,12.054252
-1323.729527,2,12.085488
-1809.943924,6,12.138863
-2114.277708,2,12.170105
-1152.401447,3,12.20138
-2836.470381,5,12.270388
-1108.191853,12,12.386261
-1496.960124,4,12.439641
-1160.971623,5,12.486539
-1120.615699,3,12.524255
-1166.617836,3,12.555503
-2418.818803,6,12.624496
-1484.791863,12,12.75599
-1077.743663,3,12.787241
-1649.812178,2,12.824988
-2181.066239,4,12.856243
-1514.731379,3,12.887486
-1255.299869,7,12.956513
-1750.315464,6,13.040965
-2413.338868,7,13.125582
-1389.487422,6,13.188108
-1082.405551,10,13.288421
-1015.283643,2,13.31966
-1161.035994,2,13.341831
-1346.49557,8,13.426298
-1051.03546,12,13.559077
-1563.867925,6,13.619991
-1292.449612,6,13.684956
-1712.081939,8,13.785189
-2219.106259,3,13.816432
-1240.578337,3,13.854191
-2093.354652,6,13.920093
-1267.491859,3,13.954336
-1439.269646,2,13.969954
-2064.092186,9,14.070599
-1006.768897,7,14.139595
-1707.795344,2,14.155258
-3747.748303,3,14.202084
-1462.944444,5,14.255531
-1074.804387,4,14.318015
-2175.01388,3,14.355783
-1213.379062,4,14.402642
-2064.25619,5,14.45797
-1460.785896,4,14.497363
-1072.194153,7,14.556245
-1893.526122,2,14.587489
-1402.06104,6,14.640859
-2026.319438,3,14.672107
-1986.697347,4,14.718971
-2124.176651,3,14.756732
-4167.232306,2,14.772353
-1330.627331,2,14.803603
-3375.589852,2,14.819217
-2303.765468,4,14.857035
-1800.114987,2,14.888279
-2152.521542,2,14.903904
-1062.022213,4,14.941654
-1288.793384,5,15.004153
-1150.473409,4,15.042527
-1868.26104,3,15.073771
-1434.72825,2,15.089392
-1474.414481,4,15.136256
-1262.656022,7,15.18917
-1091.467956,2,15.220447
-1923.846187,2,15.242628
-2593.462219,2,15.258-1273.-1219.286009,5,15.320-2849.-1044.593611,9,15.409-1582.993919,9,15.425347
-1764.859169,7,15.489894
-1149.069357,2,15.521137
-1075.884266,7,15.590135
-2030.303461,5,15.643505
-2101.354598,6,15.70603
-2128.452447,2,15.721616
-1087.37323,4,15.759407
-1672.833809,2,15.790614
-1578.210354,4,15.821857
-2380.926545,2,15.843983
-1757.-1072.849425,7,15.906474
-2217.311663,2,15.937-1584.-1073.318159,9,16.032015
-1076.434432,8,16.103045
-1127.096948,5,16.163897
-1773.658314,5,16.210797
-1723.384022,6,16.279757
-1119.897335,7,16.34882
-1672.293037,3,16.380069
-1024.515419,3,16.411342
-2781.719555,3,16.449063
-2981.046934,3,16.480316
-1011.814857,2,16.495943
-1854.319741,3,16.527179
-2193.905209,5,16.580554
-1289.803932,5,16.627419
-1105.623885,6,16.696414
-1097.530403,2,16.712038
-1593.41674,4,16.765412
-1557.918881,2,16.781034
-1981.15248,2,16.812-1287.868718,13,16.899409
-1220.142764,3,16.930651
-1091.452361,9,17.028395
-1589.443646,5,17.082172
-1340.898032,3,17.113415
-2005-1369.106082,6,17.1502-1524.115494,7,17.212721
-1324.333417,3,17.250533
-1146.210011,3,17.281781
-1908.255108,7,17.350772
-1127.465266,10,17.450811
-2174.130088,2,17.466471
-1210.954672,3,17.497684
-21-1178.742438,8,17.551051-14-2672.787574,3,17.582301-17-2160.865826,9,17.666987
-2193.405576,2,17.698234
-1680.548269,6,17.751602
-1096.721362,4,17.798472
-1265.514093,2,17.814128
-2204.855298,3,17.851847
-1502.274124,3,17.883098
-2187.925889,3,17.914343
-1122.200323,4,17.952127
-1680.726405,6,18.014654
-1378.511105,2,18.-1992.585-2279.840204,2,18.-1159.404-1795.470211,5,18-1517.9627-1021.397991,2,18.130744
-1644.10165,2,18.-1459.446-1358.054137,13,18.268247
-2568.803673,4,18.315111
-1401.805317,7,18.399729
-2899.003356,6,18.4531
-3165.945328,3,18.484348
-1226.99122,2,18.51559
-2525.718896,2,18.5312-1014.140591,11,18.615981
-303-1419.38517,5,18.631598-13-1122.497472,9,18.716216-13-1109.053852,7,18.800845
-1052.021508,2,18.81646-100-1027.894136,2,18.84770-1998.216028,4,18.869842
-2816.533266,4,18.916706
-183-1153.606976,6,18.97008-127-1341.404625,5,19.01694-221-1749.273147,7,19.097175
-1234.082994,3,19.112-1259.-1433.828682,3,19.155-2425.-1596.049237,8,19.233198
-1314.831975,7,19.302231
-1250.033569,3,19.333475
-1268.559366,2,19.355601
-1014.991839,3,19.391154
-1368.550404,5,19.438018
-2007.748355,4,19.47-1500.5-2603.877676,4,19.518-1029.273996,5,19.571521
-1116.247942,7,19.634006
-1560.-1572.233203,5,19.68-1092.4-1195.936454,5,19.734246
-1502.056189,3,19.77-1598.7-1157.464926,3,19.80-1170.09759,8,19.85665
-1110.413-1222.456527,3,19.-1226.752-1049.041549,4,-1709.1826,-1341.510204,-1644.623516,3-1448.657402,9,20.035008
-2409.556757,4,20.07276
-1373.392344,3,20.111337
-1454.517792,2,20.126959
-1031.898693,12,20.257366
-1787.415309,3,20.288613
-1520.290561,7,20.373232
-1318.869646,6,20.435716
-1591.643271,4,20.473474
-1018.64838,5,20.520371
-1050.749969,8,20.604999
-1438.213149,5,20.658363
-1798.138494,5,20.705233
-1047.926592,10,20.805515
-1086.181095,3,20.836757
-1006.261972,4,20.890134
-1290.115533,2,20.905756
-2244.503296,2,20.921376
-2496.277496,6,20.990409
-1058.89197,4,21.037308
-1304.502936,8,21.116549
-1029.927092,2,21.140285
-1122.418109,5,21.190664
-1292.452397,9,21.275315
-2040.215193,5,22.70995
-1306.820774,10,22.810195
-1210.537518,3,22.857058
-1012.030252,10,22.941677
-2232.851667,2,22.963841
-1031.642452,7,23.026331
-1206.107606,7,23.079745
-1833.841898,4,23.126609
-1506.170017,3,23.151886
-1221.527552,4,23.195643
-3149.938383,3,23.226918
-2195.011661,3,23.264668
-1282.96712,6,23.311537
-2143.536336,7,23.380534
-1364.520229,8,23.46305
-1084.862998,6,23.511931
-1508.285818,6,23.580927
-1271.567737,5,23.62779
-1253.377429,4,23.665541
-1073.227545,3,23.69679
-1316.556411,2,23.728032
-1263.986816,7,23.79703
-1452.288437,5,23.843893
-1027.20758,7,23.91289
-2515.01155,9,23.99751
-1165.181746,7,24.066501
-1367.267338,2,24.097748
-1089.05499,4,24.141461
-1068.962795,7,24.213412
-1138.012071,2,24.229034
-1250.747937,11,24.344895
-1614.765665,2,24.367022
-1020.423275,7,24.445134
-1601.526824,12,24.567535
-1658.277502,8,24.645648
-1561.581747,4,24.683449
-1485.726089,4,24.730278
-1226.110565,4,24.768062
-1079.429544,3,24.79931
