#{"t_start": 1637682487.0435073, "env_id": "PathColav3d-v0"}
r,l,t
-10287.659837,9,9.348569
-10105.688616,14,9.42303
-13397.854037,11,9.524758-11721.596362,11,9.635631
-12758.785153,9,9.723482
-10577.852755,8,9.793163--11572.954233,14,9.893761-13674.59677,12,9.94509
-10311.676003,6,9.995849
-15318.911591,11,10.112954
-10216.952129,7,10.20874
-11467.577224,12,10.363234
-10558.796179,11,10.486156
-16147.112193,4,10.533031
-10563.573199,5,10.584921
-10069.778333,5,10.649407
-10744.120728,7,10.724564
-11060.042026,5,10.768444
-10006.143444,9,10.843243
-11807.957561,4,10.875032
-11856.05214,5,10.915647
-10057.326883,11,10.997217
-14123.037951,6,11.033143
-14774.638959,10,11.105417
-10487.247434,10,11.17224
-10688.458877,15,11.26703
-11605.355622,9,11.316896
-11370.861383,6,11.349809
-10544.064263,6,11.384047
-14977.350432,5,11.412991
-12076.652513,12,11.489937
-10466.068214,12,11.558838
-12765.818508,6,11.597776
-11229.793848,10,11.660024
-15243.542843,5,11.691941
-15918.356196,7,11.736053
-17178.849678,5,11.765114
-14589.636628,7,11.8089
-13853.701245,15,11.900637
-14766.164033,12,11.966902
-10244.999209,3,11.983008
-10088.992012,11,12.045784
-13010.499551,5,12.074328
-11226.396142,6,12.110277
-12420.133893,4,12.133055
-11800.779496,7,12.17195
-11554.5746,7,12.211146
-14483.759336,6,12.246445
-10833.14693,4,12.270961
-12124.956705,8,12.315939
-12071.646234,11,12.375988
-10808.490566,4,12.398901
-12440.005778,8,12.449462
-14762.218146,14,12.545598
-10012.295939,4,12.572977
-15292.715611,5,12.612439
-13145.242489,5,12.649007
-12069.208373,4,12.684982
-11354.799084,4,12.716874
-12508.313187,7,12.765949-11-12059.605687,5,12.801973-14541.587843,15,12.891718
-10845.743146,11,12.96637
-10695.946982,6,13.007283
-11297.002153,5,13.041484
-12619.325158,9,13.108717
-10111.517706,14,13.214611
-10699.449713,5,13.254174-1-10213.741882,15,13.36419
-12533.713097,5,13.400367
-13097.39058,6,13.442706
-10910.874663,6,13.490237
-14963.90506,5,13.533029
-12180.563748,4,13.559958
-10265.916273,8,13.62425
-12187.843669,7,13.671075
-10144.96861,7,13.724305
-13197.481622,10,13.800399
-10290.718138,5,13.836135
-11211.018355,7,13.884006
-10609.377498,4,13.908776
-11971.730935,14,14.006155
-12515.410662,9,14.054107
-10570.405135,6,14.092682
-11146.39815,10,14.155375
-12746.055993,11,14.221522
-10813.36314,7,14.264773
-11434.744806,4,14.289534
-11362.74717,9,14.341411
-13431.549779,7,14.379428
-10230.445962,14,14.457134
-12622.154716,9,14.509992
-11293.188836,4,14.531959
-12727.222882,6,14.566584
-11241.074332,6,14.605107
-10638.163321,11,14.667944
-12588.303128,6,14.703734
-10643.693164,15,14.787191
-12050.27469,5,14.814974-1-13460.232075,7,14.85659
-10275.297762,8,14.901165
-12004.326504,7,14.939939--11669.763851,6,14.976026
-10329.223041,7,15.016917
-13498.834829,7,15.061125
-10042.556157,6,15.101918
-10656.9425,13,15.168967
-13066.270039,6,15.209063
-11294.353224,13,15.300059
-12584.273252,6,15.344375
-10113.819756,6,15.380094--15397.935267,10,15.449301--11607.254102,4,15.48103
-14113.198036,8,15.538267
-11114.491904,9,15.594033
-14576.269798,10,15.650276
-11149.250302,14,15.715321-11295.06575,14,15.829986
-11987.613681,13,15.920057
-11748.574393,9,15.972088
-13846.884671,6,16.023365
-12582.139495,5,16.078348
-10552.226953,13,16.217798
-10696.513895,12,16.342071
-11599.344223,15,16.428402
-11421.630626,5,16.461369
-11910.617561,9,16.522547
-12024.917569,10,16.584584
-11726.559997,13,17.645553
-11427.705185,10,17.705925
-10565.023542,12,17.77381
-11495.783084,8,17.820861
-11392.294705,8,17.8715
-10152.782312,9,17.92576
-10185.91075,6,17.966629
-12584.91279,8,18.016212
-15822.752186,4,18.041352
-10640.388777,13,18.116507
-10506.174071,9,18.178031
-12337.044396,6,18.221643
-10220.50218,8,18.27214
-10071.297355,9,18.335094
-13676.437605,9,18.39558
-12720.529376,5,18.426646
-11752.824799,12,18.517509
-10154.886383,7,18.563253
-15231.116626,5,18.601999
-13317.605779,9,18.664844
-12745.358817,5,18.704415
-10821.421078,8,18.767127
-16331.705196,4,18.793953
-10236.575054,10,18.853972
-12751.955159,14,18.938275
-11397.332068,8,18.984768
-12440.043883,8,19.045108
-10284.253026,9,19.133167
-10390.136668,5,19.180148
-10637.894711,6,19.228965
-10425.936784,10,19.314048
-11055.383848,5,19.350723
-10816.693882,14,19.452397
-10896.026711,11,19.534348
