#{"t_start": 1638212707.2998605, "env_id": "PathColav3d-v0"}
r,l,t
-1520.709612,2,4.471942
-3800.632949,1,4.484941
-3114.19277,4,4.530785
-1863.780894,2,4.558709
-3622.949147,1,4.574666
-1047.577144,1,4.586633
-1427.504828,1,4.602591
-2361.153886,1,4.619546
-4301.293726,1,4.632514--1616.241344,1,4.646475-6881.233389,1,4.660438
-1244.565916,1,4.673401
-2190.225272,1,4.686368
-3483.610815,1,4.70133
--2993.078385,2,4.728258-2-2988.899312,1,4.741223-34-2289.658643,1,4.754188-8798.443361,2,4.781113
-3623.04,1,4.793081
-2095.6-7828.436656,2,4.81-3675.8-2238.315926,1,4.8-1396.747111,1,4.84594
-2903.6-2418.682076,3,4.8-4302.15-2676.144008,1,4.8-5795.224625,3,4.925732
-5988.313322,3,4.959636
-3618.353211,1,4.971606
-5265.688992,3,5.008505
-1263.000705,1,5.021473
-2105.420187,2,5.046405
-2428.908081,1,5.061367
-1313.437798,1,5.075326
-6418.83029,3,5.109235
-1344.974383,3,5.142151
-4598.377993,3,5.178054
-2448.042622,2,5.199995
-2130.904926,1,5.212959
-3458.893045,2,5.234903
-1285.2044,1,5.248865
-2484.123706,1,5.260867
-3798.509464,1,5.273831
-1116.155101,2,5.297734
-1486.062028,1,5.312698
-2977.682864,1,5.32566
-2272.732613,1,5.340618
-2198.007466,2,5.363558
-3878.113784,1,5.38151
-4962.09784,2,5.402453
-2102.383187,1,5.414422
-1761.338324,1,5.429382
-7863.351479,2,5.458305
-3459.497278,1,5.47526
-1181.468406,1,5.489222
-1932.593034,2,5.514156
-1674.454568,1,5.527118
-3573.944373,1,5.53909
-1304.960175,1,5.552054
-1051.311583,1,5.564023
-3841.282837,2,5.584966
-2529.858747,1,5.596934
-1916.730735,2,5.616884
-1438.058623,1,5.63084
-2196.294061,2,5.653779
-3488.04379,1,5.667744
-4661.633879,1,5.680706
-4123.532072,1,5.693674
-2886.027669,1,5.706638-1-1019.80508,1,5.718612-1067.204754,1,5.731574
--1187.702268,1,5.743541-5868.804306,2,5.767477
-2469.365925,2,5.796397
-3424.086198,1,5.811358
--1666.844527,3,5.847263
-4208.578707,1,5.862257
-4091.289953,2,5.886157
-2724.022082,2,5.910097
-2094.848937,1,5.923062
-1323.355277,2,5.948025
-1791.796675,1,5.96096
-1061.048202,1,5.973926
-3743.134523,1,5.989884
-1529.34184,2,6.017808
-1790.773229,4,6.060692
-4264.740291,1,6.075654
-3344.596005,1,6.089617
-1477.754122,1,6.102581
-3041.53206,2,6.125518
-1311.787697,1,6.137488
-2974.391202,1,6.150452
-5130.990642,2,6.179403
-2081.190175,1,6.194366
-6525.67592,2,6.221291
-1327.984914,2,6.243232
-2907.596159,1,6.258193
-4825.39138,2,6.280134
-5022.914537,2,6.307062
-3085.522685,1,6.328041
-1269.834065,1,6.343964
-1814.06225,1,6.356929
-1274.617099,1,6.370893
-3193.506929,1,6.385851
-3692.880574,1,6.40081
-1162.469049,1,6.414777
-2034.278132,3,6.448684
-4243.374319,1,6.461683
