#{"t_start": 1638265721.4817684, "env_id": "PathColav3d-v0"}
r,l,t
-1604.377037,2,2.932837
-1000.834509,4,2.951784
-2091.51292,1,2.961759
-3233.439093,1,2.97276
-3-1405.476698,2,2.980711-1718.735728,2,2.995668
-2513.323172,1,3.003646
-18-3743.820707,2,3.01661-287-1155.055061,2,3.031577
-2421.025904,2,3.047532
-1751.396475,1,3.055542
-2070.807001,1,3.063488
-1641.473899,1,3.07151-210-2277.466914,2,3.08642-445-1909.314387,1,3.09440-113-1661.806975,1,3.10238-363-7052.618085,3,3.12133-162-2285.258511,1,3.13034-1235.382088,2,3.144271
-2170.897013,2,3.15923
-3545.624763,1,3.167208
-4363.875538,3,3.188155
-1062.814502,1,3.19713
-3709.980385,1,3.204112
-1564.923782,2,3.218071
-1838.050707,1,3.226052
-3083.104197,3,3.248989
-1869.498938,2,3.26398
-2250.329151,1,3.272931
-1223.907202,1,3.279911
-3380.975167,3,3.30185
-3139.908278,1,3.309827
-2984.565708,1,3.318803
-2523.848604,1,3.324785
-1778.749101,2,3.339746
-2371.890542,2,3.35271
-3185.877924,1,3.359693
-1057.504895,1,3.368669
-2458.284174,1,3.376647
-1640.813983,1,3.38363
-1201.388242,2,3.398595
-1352.712715,1,3.405572
-1593.552617,2,3.420532
-2790.405858,1,3.430502
-1353.614368,1,3.438481
-2712.97087,1,3.446469
-5352.964609,2,3.462417
-8159.157073,2,3.477379
-1515.824801,1,3.485355
-3390.253661,1,3.494332
-3633.64707,1,3.502317
-1452.731807,1,3.510289
-2302.584592,1,3.522261
-2412.984955,2,3.537261
-1662.366781,2,3.554173
-1520.24444,1,3.567137
-3987.350863,2,3.581101
-4227.441722,2,3.595062
-1883.173681,1,3.603043
-3762.182229,1,3.611021
-3719.923688,1,3.619
-1292.157646,4,3.647927
-3464.978549,1,3.655918
-1024.602175,2,3.669866
-1389.419343,1,3.677842
-3202.673978,1,3.68582
-2556.894992,1,3.692801
-3523.278999,2,3.705766
-1423.203516,1,3.714742
-1566.443198,1,3.722723
-2674.644486,4,3.750648
-6481.911855,2,3.763611
-3682.361098,1,3.771592
-1707.142222,1,3.778573
-2289.812379,2,3.793675
-3369.435051,1,3.801656
-2652.09347,1,3.808636
-1229.568529,1,3.816617
-3276.592871,3,3.833569
-3661.11995,1,3.84055
-2074.609048,2,3.853153
-2771.774895,2,3.865882
-4463.719914,1,3.872867
-2163.322739,1,3.878852
-2238.742077,1,3.886828
-3819.778418,1,3.892814
-6502.070143,2,3.907915
-2562.091534,1,3.915253
-8874.472339,2,3.928223
-33-4480.742328,2,3.940194-50-1627.173741,1,3.947176
-4205.599475,1,3.9541-3612-2516.138661,1,3.9601-3058-4547.793555,1,3.968837
-4862.827485,1,3.9748-6800-3411.997231,1,3.9818-1004-3146.034979,1,3.9887-5233.051656,1,3.997756
-175-11153.971746,2,4.00-1354.2-2211.895766,2,4.022693
-3623.04,1,4.031667
-2740.371211,2,4.04563
-1310.838175,1,4.053609
-3623.04,1,4.062585
-1731.9375,3,4.084525
-1090.279861,1,4.092504
-3752.264702,1,4.100484
-3646.936217,1,4.107466
-2267.628148,2,4.12445
-1444.495768,1,4.133396
-2148.198096,1,4.140378
-1902.275368,2,4.15434
-1349.594337,1,4.161321
-2605.854904,1,4.168303
-7505.767484,2,4.182267
-2771.095338,1,4.189247
-3702.994922,1,4.196266
-4069.633693,1,4.203219
-3458.57087,2,4.217172
-4957.297451,1,4.224152
-2000.760716,1,4.232131
-1146.567806,1,4.238155
-4629.568871,2,4.252078
-3510.20643,1,4.260056
-2374.907898,2,4.271668
-1329.673482,1,4.278653
-4755.493138,3,4.2986
-5591.338485,1,4.30658
-7657.174339,2,4.319544
-1593.791037,2,4.334504
-1188.368068,2,4.347469
-1946.516517,1,4.353851
-5743.85152,1,4.360836
-1533.071947,2,4.374829
-1281.336884,4,4.401727
-3712.220955,1,4.409706
-6266.441,3,4.429652
-3177.612201,1,4.436633
-1575.801785,1,4.443614
-2220.81283,1,4.45259
-2594.394219,1,4.459571
-2758.4532,2,4.47154
-1609.181349,1,4.480517
-4841.313812,1,4.488907
-6855.813888,1,4.495889
-2239.933119,1,4.50287
-3596.277177,2,4.51518
-1987.389151,1,4.522164
-1956.825976,1,4.529147
-1590.848609,2,4.543113
-1872.948144,1,4.550091
-3215.216541,2,4.564053
-5269.608008,3,4.585001
-1644.838307,2,4.599161
-1371.637991,1,4.606143
-2013.416085,1,4.613124
-1383.085863,2,4.627087
-1598.138776,1,4.634069
-2499.328656,1,4.642047
-3154.508384,2,4.656009
-4652.207678,3,4.674959
-3611.414594,1,4.682937
-1841.289485,2,4.693942
-8297.593827,2,4.707905
-3101.300166,2,4.721835
-1347.355726,1,4.729814
-3471.454176,1,4.736794
-2878.601297,2,4.751721
-1590.712272,1,4.758703
-1589.126231,1,4.765682
-2900.647059,2,4.777652
-6933.054555,2,4.792612
-2821.907988,1,4.80059
-2120.037839,2,4.813555
-2810.08889,1,4.821535
