#{"t_start": 1638265919.6724293, "env_id": "PathColav3d-v0"}
r,l,t
-3419.218814,2,3.031631
-2536.42965,2,3.043566
-2584.767978,2,3.055535
-3392.507689,1,3.062516
-1593.345247,2,3.074484
-1132.380721,2,3.086452
-6760.477633,2,3.098454
-2591.910627,1,3.105402
-1124.730577,1,3.111386
-1345.632303,1,3.11737
-1342.642425,1,3.123354
-3092.977943,1,3.130336
-1409.179465,1,3.136351
-1251.978682,1,3.142337
-1855.105452,1,3.148321
-3068.846263,1,3.154302
-4934.410666,1,3.160286
-2500.717323,3,3.177244
-1863.545215,2,3.188181
-2270.028448,2,3.200149
-3490.924433,1,3.205167
-3686.864047,2,3.227077
-5167.081956,1,3.233061
-2092.559478,1,3.239045
-1503.483164,1,3.244065
-5133.5338,2,3.256
-4009.657357,1,3.262981
-3850.849161,2,3.272954
-1266.140185,2,3.283958
-4800.730364,1,3.290905
-1775.974298,2,3.305898
-3483.764872,1,3.311881
-4102.338819,1,3.317833
-2569.909489,1,3.323817
-4547.188344,1,3.332793
-3645.449529,1,3.338816
-4367.404546,1,3.344762
-3692.228922,1,3.35074-362-1283.428722,2,3.3-2753.28-3558.484195,1,3.3-3367.59-2440.89112,1,3.3-1161.45-1877.904759,2,3.3-5736.2-1098.840036,1,3.39-3954.8-2747.287236,1,3.39-3289.077225,2,3.407594
-3670.066455,1,3.413578
-4294.740781,2,3.425545
-1608.588516,1,3.432528
-4734.08367,1,3.43851
-3086.24-1934.832347,1,3.4-1906.43-1395.947851,3,3.470426
-6154.959245,2,3.482424
-1356.775481,1,3.488411
-4726.410064,2,3.499382
-1407.266096,1,3.504369
-5534.611421,1,3.510351
-5397.728826,2,3.520291
-1215.128848,1,3.526277
-4609.596699,1,3.53226
-1015.190308,2,3.544229
-1001.011934,2,3.557193
-8251.21739,2,3.567198
-1529.077657,2,3.579169
-3659.651177,2,3.590137
-4459.499077,2,3.601108
-2003.312994,2,3.614043
-1709.697737,2,3.626041
-5050.951956,1,3.632028
-1689.662492,1,3.638009
-1427.501529,1,3.643993
-2401.1546,1,3.649978
-2623.280401,1,3.655929
-3519.041231,2,3.667898
-6515.243002,1,3.673912
-1142.610986,1,3.679865
-3708.631045,1,3.685881
-1264.596884,1,3.692868
-1418.016069,1,3.698814
-2167.49098,3,3.714772
-2947.3133,1,3.720757
-1765.030844,2,3.731727
-3150.023247,1,3.737711
-2344.745892,1,3.742729
-2098.601498,1,3.748681
-2925.049726,1,3.754699
-1922.037418,1,3.760684
-4700.772906,1-1249.394977-3613.629142,1-1403.71542-3854.054832,1,-6207.581857,2,3.785583
-3455.011852,2,3.796587
-3833.265478,1,3.802569
-1928.561172,2,3.813508
-2877.566203,1,3.81949
-1047.194847,2,3.830463
-1583.580063,1,3.836448
-1571.688629,2,3.848448
-4766.062081,3,3.861411
-1732.498979,1,3.867362
-3616.80595,3,3.883322
-3596.703674,1,3.889306
-1004.330405,1,3.896286
-3225.425114,1,3.903267
-1814.695444,2,3.914238
-4877.619516,1,3.920222
-2243.959749,1,3.926206
-1058.101804,2,3.937178
-3597.50596,1,3.943195
-2125.456116,1,3.948182
-2531.836853,1,3.954163
-2877.651649,1,3.960147
-3032.146157,2,3.970088
-1365.978584,1,3.978067
-4192.553293,2,3.991034
-2438.910952,1,3.997019
-5053.875162,2,4.008986
-3408.565382,1,4.015008
-2394.660772,1,4.01999
-3139.614489,1,4.025976
-1327.214,1,4.031924
-6633.204175,2,4.042926
-5176.457208,3,4.05788
-1112.987173,2,4.069822
-2326.922416,1,4.075807
-2098.37604,1,4.081791
-2252.110343,2,4.09479
-2905.920345,1,4.100739
-1049.667579,1,4.108717
-6536.525898,1,4.114704
-5541.758282,1,4.120686
-4504.226355-1316.782291,2-1522.658061-1084.811053,2-3134.82623-1264.912481,1,-3600.90491-3660.732411,1,-1201.505552,2,4.160579
-3056.45130-1815.297554,2,-2874.62043-3200.953946,1,-3273.128715,1,4.186509
-5065.450251,3,4.203465
-3720.273866,1,4.211443
-2003.528591,1,4.220419
-3105.978766,1,4.226404
-2499.767057,1,4.233385
-2382.666-1667.229916,4,4.257322
-2329.731782,1,4.263305
-2063.970884,1,4.269289
-3802.946747,2,4.28026
-10343.232865,2,4.294223
-1037.482641,1,4.300206
-1577.118999,1,4.306189
-1367.68951,2,4.319157
-2405.883065,1,4.326137
-6658.140751,1,4.333119
-1217.65674,3,4.354062
-1359.01183,1,4.360054
-2452.748556,1,4.367028
-1968.649725,2,4.379021
-3188.228294,1,4.384979
-3636.964405,1,4.390964
-4400.32161,1,4.396981
-2415.054243,1,4.40293
-2899.754045,1,4.408915
-3374.534622,1,4.414898
-3832.411312,1,4.420882
-1969.758787,1,4.425901
-3390.900572,1,4.432852
-3408.021604,1,4.438836
-2385.840958,1,4.446815
-7200.0,1,-5670.83321-4849.451701,2,4.464765
-3637.714686,1,4.473741
-4303.268469,1,4.483715
-4350.907076,1,-1382.3882-2955.762127,1,4.502664
-1293.627601,1,4-4363.1156-5882.613846,1,4-2445.934871,1,4.521613
-2779.7484-3592.390349,2,4-1618.9569-9132.723144,2,4-5401.577-3368.141375,1,4.-3510.467-2456.959626,2,4.-1267.319-1739.76811,1,4.572478
-3300.363708,1,4.5-2152.55-3390.827441,1,4.584445
-1064.061119,1-2264.543792-4607.457064,2,4.600402
-1085.309281,3,4.62035
-4320.312811,1,4.626333
-3111.533499,2,4.637304
-3061.451665,1,4.643288
-1040.701313,1,4.649272
-2068.725683,1,4.655257
-3342.327657,1,4.66124
-2663.352848,1,4.667224
-5872.764497,1,4.67221
-3593.920178,1,4.678194
-1521.818486,-5111.631842,-3896.372961,-3417.683959,2,4.697145
-1175.636937,1,4.703154
-1442.67465-1051.318137,1,-5784.24722-5287.421483,1,-2164.86919-2949.281162,1,-2891.225017,2,4.730057
-5110.720245,3,4.747037
-5085.044758,1,4.752994
-4371.3037-2492.112126,2,4-2005.6184-2778.902573,3,4-2097.5079-2798.19099,2,4.-3194.562-2667.780951,1,4.-1388.722-5767.85476,1,4.8-5566.69-2649.097415,2,4.8-1511.78-2763.727412,1,4.8-3108.084527,1,4.820853
-2879.9-4580.785839,2,4.83-1498.4-8694.85326,2,4.844-5295-1135.274363,1,4.8507-1697-4472.096971,1,4.8567-1624-2078.063665,1,4.8617-1572.426441,1,4.863731
-3779.911302,2,4.874712
-4267.839798,2,4.885672
-1929.522818,3,4.902621
-2816.964603,1,4.907614
-8476.814921,2,4.918584
-1956.317441,1,4.923576
-2334.606905,1,4.929557
-1570.857254,1,4.935507
-1593.84298,1,4.940532
-2166.159556,3,4.958446
-1879.39415,1,4.96443
-1619.773313,1,4.970414
-1721.497002,1,4.976398
-4071.829315,2,4.986397
-3299.314714,2,4.996345
-3609.812205,1,5.001357
-4044.531031,1,5.00734
-1190.513913,1,5.012335
-1081.155345,2,5.022275
-1738.803662,2,5.03328
-1578.853933,3,5.048237
-1784.560935,2,5.059208
-2892.799968,1,5.066197
-1753.646529,1,5.071176
-1419.595589,2,5.082146
-8275.84703,3,5.098104
-7079.881973,2,5.108081
-1394.860789,1,5.114062
-1142.345069,2,5.125031
-1204.102754,1,5.131021
-3696.621918,1,5.136003
-3265.288544,1,5.14199
-2001.01236,2,5.150965
-1490.113866,2,5.161934
-7167.429919,2,5.171909
-2879.283576,1,5.179887
-3445.647046,1,5.185869
-2252.580853,1,5.191853
-1459.658177,1,5.197805
-4246.131389,2,5.207812
-1315.954338,1,5.212797
-1556.23919,1,5.218788
-1608.899519,1,5.224767
-2106.739813,1,5.230749
-3832.966987,1,5.235738
-1583.552448,3,5.25269
-1744.862193,1,5.258674
-1493.564213,1,5.26466
-1465.602389,1,5.270609
-5994.72872,1,5.276594
-7268.199832,2,5.286567
-1632.238905,1,5.291553
-1194.882111,1,5.297538
-2575.065946,1,5.302524
-3922.796342,1,5.307511
-5978.800396,1,5.313495
-3641.514202,1,5.319506
-1712.460449,2,5.330482
-2114.249542,1,5.337464
-2601.900679,1,5.34245
-2200.955684,1,5.348434
-3500.947343,1,5.354418
-1595.904179,1,5.360405
-1186.935752,1,5.366355
-1343.561265,1,5.371341
-1013.303883,2,5.382344
-1862.656823,2,5.394279
-2010.354474,1,5.399299
-3774.242964,1,5.40525
-2907.783942,1,5.412264
-1441.619844,1,5.418249
-8474.69689,3,5.434174
-2222.592243,3,5.451127
-1208.11287,2,5.462099
-1691.672969,1,5.468083
-2135.919209,1,5.474067
-6181.045583,1,5.480051
-6822.792903,1,5.485038
-1929.35326,1,5.492019
-1593.464364,1,5.498003
-2667.813453,2,5.507976
-3334.905614,2,5.521939
-3080.542019,1,5.527923
-7346.793138,2,5.538894
-4075.443877,1,5.544878
-2512.290574,1,5.549864
-5216.819743,1,5.555848
-1689.359055,1,5.56-1012.0-4210.557059,2,5.5-1814.12-2741.128296,1,5.5-1717.34-3739.766996,1,5.5-2827.95-2371.799913,2,5.5-3458.96-3820.636325,1,5.6-2545.119402,3,5.621672
-1349.516468,1,5.627656
-1196.7949,1,5.633641
-2434.719447,1,5.639625
-1214.034988,1,5.645608
-4460.484862,2,5.656577
-1313.201681,1,5.662562
-3088.196132,2,5.674532
-4824.242439,1,5.680513
-2211.638343,1,5.688492
-1597.452507,3,5.70844
-3638.63525,2,5.722401
-3658.283467,1,5.731377
-1461.334837,2,5.74534
-2491.567764,1,5.753319
-3619.738559,1,5.759304
-1761.429479,1,5.765288
-3463.71634,1,5.771271
-6135.577051,2,5.783238
-1711.231205,1,5.789222
-1587.819286,1,5.797201
-4386.985785,1,5.804183
-4026.835673,1,5.810167
-3910.197583,1,5.816151
-2292.294073,1,5.822167
-2184.522976,1,5.828162
-3594.079106,1,5.833143
-2419.16375,1,5.839129
-1694.36157,1,5.84607
-1184.220177,2,5.86103
-4425.595257,2,5.875031
-2201.834779,1,5.880977
-8144.01617,2,5.891948
-4080.20295,2,5.906909
-1525.813529,2,5.919906
-2977.02794,1,5.924895
-4562.997113,2,5.936861
-1381.88705,1,5.942846
-6197.199154,2,5.952818
-2250.021127,3,5.969774
-1637.58979,2,5.980745
-1673.652365,1,5.986695
-4209.578966,1,5.991713
-2667.231195,2,6.002685
-3623.04,1,6.008637
-3987.444093,1,6.013656
-5593.943363,3,6.031608
-1212.844336,3,6.048561
-1439.402117,1,6.054548
-2014.415449,1,6.059533
-1158.80709,1,6.065518
-2261.073281,1,6.0715
-2139.274543,3,6.086462
-1214.753494,2,6.097432
-2903.450273,1,6.103414
-1499.893257,2,6.113389
-5449.896146,3,6.129347
-3770.187622,1,6.134335
-3468.621553,1,6.139318
-3701.284512,2,6.150291
-1451.783538,3,6.165249
-1331.010934,2,6.176221
-2121.649022,2,6.18719
-1262.686809,1,6.193176
-1119.4548,1,6.199158
-1612.675701,2,6.209133
-1997.914514,1,6.215116
-3452.242099,1,6.221103
-2315.631507,1,6.227083
-3592.807467,3,6.250988
-3081.623638,1,6.259965
-3231.342115,1,6.268939
-2429.68886,1,6.276918
-3136.790496,1,6.284923
-1148.581623,1,6.290883
-3053.225223,2,6.303848
-1618.925333,1,6.30983
-3650.966008,1,6.31781
-1896.47733,1,6.32479
-1512.690065,1,6.335762
-5819.695722,2,6.346732
-5789.24641,2,6.356706
-1676.08268,1,6.362689
-3601.756651,1,6.368673
-1111.005705,3,6.386626
-2632.716616,4,6.412557
-3714.219831,1,6.419538
-1949.926837,1,6.426518
-2130.536852,3,6.451453
-3623.04,1,6.459432
-3056.866711,1,6.468407
-2139.332809,3,6.488355
-1691.302484,2,6.500322
-1697.898753,1,6.5083
-1587.883309,1,6.515282
-3888.898945,4,6.537222
-2729.283906,1,6.544203
-3577.489084,1,6.550219
-1438.707012,3,6.568174
-4489.932025,1,6.574161
-6819.476896,2,6.58709
-1503.250593,1,6.593072
-1620.421207,2,6.605043
-1994.543926,1,6.611026
-5154.133585,2,6.62399
-3690.131967,1,6.629976
-1426.178693,1,6.635959
-1197.10871,1,6.641943
-2604.933955,3,6.658931
-1215.929542,1,6.666876
-9870.421208,2,6.681836
-1129.526287,1,6.689814
-2341.700209,2,6.703778
-1750.20629,2,6.71774
-4231.030621,1,6.72472
-1461.0794,2,6.739681
-3703.290395,1,6.746663
-1906.180497,1,6.755638
-2980.006354,1,6.761622
-1310.044572,3,6.77961
-1084.373145,1,6.785591
-2822.666408,1,6.791576
-2503.295754,2,6.802547
-4032.706364,1,6.808528
-2992.727877,1,6.813483
-1190.523018,1,6.820465
-4685.914557,3,6.838418
-3995.631798,1,6.845399
-2465.182459,1,6.850419
-1055.60407,3,6.868371
-2232.059051,2,6.878341
-1691.356266,2,6.889312
-1603.556717,1,6.895298
-1471.483273,2,6.907232
-2166.61924,3,6.925217
-3135.214526,1,6.931169
-5465.533175,2,6.941173
-1255.903297,2,6.952146
-3169.201039,1,6.957131
-1033.799321,1,6.963084
-2065.587305,2,6.973057
-3623.04,1,6.979041
-3904.692979,1,6.986022
-2387.385893,3,7.000981
-3177.098282,1,7.008961
-1329.198669,2,7.019932
-2139.419052,1,7.025916
-2521.250213,1,7.0319
-4767.23501,2,7.041873
-2228.484413,2,7.051847
-1193.210363,1,7.05783
-2023.73572,1,7.063814
-1273.052135,1,7.069798
-1129.935415,1,7.075443
-2154.934298,4,7.097384
-3623.214187,1,7.103368
-2347.749241,1,7.108355
-1125.391754,1,7.114343
-6121.083369,2,7.125312
-1506.732761,1,7.131293
-1914.650215,1,7.136281
-1949.812299,1,7.142231
-1561.745666,1,7.149248
-6056.631358,1,7.154199
-2064.296728,3,7.172152
-2014.794102,1,7.179132
-1750.061745,2,7.192098
-3400.2156,2,7.204067
-3057.52185,1,7.211048
-1429.954114,1,7.217031
-4229.649564,1,7.222018
-7047.891176,1,7.228002
-3287.608623,1,7.233986
-1049.859935,3,7.250942
-3119.894007,3,7.267895
-4507.506048,1,7.274877
-4944.032552,2,7.286877
-1684.33393,1,7.292863
-3690.846097,1,7.298845
-1770.083137,1,7.304828
-1661.41814,3,7.32179
8,1,7.072451
-3198.54156,1,7.078434
-2932.779782,1,7.083421
-3461.325368,1,7.089405
-3823.555056,2,7.099379
-4760.633865,1,7.105363
-1238.44857,1,7.111351
-3264.838563,1,7.116333
-4840.700131,1,7.12232
-2234.006992,2,7.133289
-2176.104486,1,7.139239
-8723.451166,2,7.151207
-1249.698922,1,7.158188
-2334.993697,1,7.164172
-4302.417979,1,7.170156
-3241.591773,1,7.17614
