#{"t_start": 1638265514.2103856, "env_id": "PathColav3d-v0"}
r,l,t
-1982.825698,1,0.051552
-2767.171827,2,0.074489
-2467.652114,2,0.101419
-2178.44178,1,0.113386
-5322.45216,1,0.122361
-4196.283432,1,0.141311
-4512.002456,3,0.181204
-3188.407878,1,0.196171
-3447.843799,2,0.211126
-1226.653148,2,0.23506
-2027.211903,1,0.246032
-2777.784959,2,0.270964
-1015.116018,1,0.27994
--3149.121797,2,0.290912-1113.85977,1,0.29989
-3-1562.662555,1,0.31186-3156.488569,3,0.336789
-3738.571954,1,0.347762
-2951.377343,2,0.375693
-3979.812426,1,0.391642
-2-1699.256688,2,0.408598-2752.342437,3,0.443504
-3624.332383,1,0.463449
-5450.758726,2,0.488384
-4916.457419,1,0.502346
-2320.476967,1,0.509327
-4479.757437,3,0.538249
-4857.185167,1,0.547226-8-2932.252202,2,0.56817-1542.459328,1,0.579142
-2275.736277,2,0.604072
-4549.625745,2,0.619036
-1569.162788,2,0.636986
-1899.347393,1,0.645962
-4074.777588,2,0.654938
-1819.571276,1,0.661918
-5647.256468,2,0.675882
-5099.613681,3,0.689843--1770.208491,1,0.69882
-1092.272461,1,0.705801
-1325.927975,2,0.720761
-1777.183716,1,0.727743
-2450.267539,1,0.735722
-4103.177115,1,0.743703
-6464.718285,2,0.758659--1637.650156,2,0.779608
-4652.767894,2,0.794563
-3722.301891,1,0.802541
-6845.750091,2,0.817502
-1750.463586,1,0.823486
-3609.030377,1,0.831465
-2883.759867,3,0.852409
-4579.328773,1,0.860388
-2754.258979,3,0.881331
-1102.727753,2,0.897295
-2232.103633,1,0.904271
-2492.116908,1,0.912248
-2437.352152,1,0.920228
-1143.342941,5,0.955133
-4427.263066,1,0.962116
-2962.890177,2,0.976083
-4065.181716,1,0.984056
-4229.932078,1,0.991038
-4767.995,1,0.998019
-1517.577714,1,1.006006
-3692.961458,1,1.015972
-3889.144522,2,1.02794
-1499.232727,1,1.035922
-1308.179153,3,1.059855
-3445.238428,2,1.078803
-1268.950903,1,1.100745
-6431.69752,2,1.120691
-3607.102721,1,1.129668
-3624.082725,1,1.137645
-1337.627481,1,1.14862
-1771.340792,1,1.156595
-1900.950658,2,1.171561
-1384.76406,1,1.179534
-2070.646687,2,1.195491
-1648.843122,2,1.209461
-1123.587944,1,1.217435
-1462.373603,1,1.227406
-1447.055077,1,1.234386
-3613.090406,1,1.242366
-3140.594245,1,1.250348
-4153.793788,1,1.261315
-1824.091246,1,1.269293
-2899.195703,1,1.277272
-4268.140315,2,1.290237
-1444.121733,1,1.29722
-3637.852788,3,1.318163
-4920.139912,1,1.325144
-2105.837671,2,1.345091
-1431.268954,1,1.353072
-3602.857316,1,1.361049
-3717.229858,2,1.377007
-1566.024344,1,1.385982
-2274.271692,2,1.405929
-4213.726506,2,1.425875
-4823.832015,1,1.436846
-1032.149527,1,1.445829
-4573.359726,1,1.452805
-2473.056313,1,1.464777
-1557.150627,1,1.475743
-1529.38986,1,1.48372
-1588.347672,1,1.494691
-1180.427867,1,1.503667
-1152.431809,1,1.510648
-1470.435656,1,1.51763
-1674.256077,1,1.525612
-9573.136314,2,1.53957
-1249.950746,1,1.545554-1-3873.792763,3,1.567496
-2303.174228,1,1.575475
-3914.21805,1,1.583453
-2598.7481,1,1.590436
--1161.932945,3,1.599411--4121.170393,3,1.620356
-1036.36692,1,1.628334
