#{"t_start": 1638265496.440671, "env_id": "PathColav3d-v0"}
r,l,t
-2559.935575,2,7.444192
-1903.112111,2,7.456194
-2144.005607,1,7.463141
-2585.452544,2,7.477654
-3522.664013,3,7.498599
-3686.18418,1,7.506578
-1603.157488,1,7.514085
-2503.462523,2,7.528085
-3774.042248,1,7.536029
-1542.680104,1,7.54301
-3870.870233,2,7.556973
-1554.351544,1,7.564952
-7421.676848,2,7.57895
-2789.112293,1,7.586937
-1582.739612,1,7.594058
-2808.561278,1,7.601047
-2069.928543,1,7.60902
-3361.074243,2,7.622984
-1211.736028,2,7.634952
-5372.824661,1,7.642929
-3583.665836,1,7.649562
-5780.483944,2,7.672153
-1171.865165,1,7.679265
-3725.400271,1,7.68625
-3625.770839,1,7.693229
-4924.961346,1,7.700211
-2115.879174,1,7.707224
-1547.395102,2,7.720159
-1735.377784,1,7.728227
-4329.990708,1,7.735242
-3222.921631,1,7.743188
-3877.032286,1,7.749939-1-2312.983926,2,7.76294
-1905.79699,1,7.769922
-1031.872111,2,7.783852
-5032.586223,3,7.803799
-1095.8791,1,7.810813
-1319.897867,1,7.819192
-1737.064409,1,7.827174
-3113.260929,4,7.851108
-3623.04,1,7.859087
-1214.896843,2,7.874047
-6304.306939,2,7.88801
-3651.556136,1,7.894991
-1821.528343,1,7.901972
-1231.152774,1,7.909952
-3375.687102,2,7.924914
-1679.223357,2,7.938875
-3735.435634,2,7.951839
-5487.771442,2,7.964087
-1585.418967,1,7.971072
-3939.358539,1,7.978053
-3681.556096,1,7.985258
-1152.490316,1,7.992276
-4839.061209,2,8.006204
-2636.038248,3,8.024188
-3480.2759,1,8.031162
-7335.170431,2,8.044103
-1958.251843,3,8.06405
-2589.419305,1,8.072028
-1350.289723,2,8.083023
-2355.659959,3,8.101981
-2614.019606,1,8.108929
-1572.063403,3,8.128877
-1260.284803,2,8.140878
-2122.113575,1,8.147826
-6175.675775,2,8.160794
-2726.316809,1,8.167775
-3611.769367,1,8.174756
-1293.014802,2,8.188719
-1774.309787,2,8.205343
-4751.333781,1,8.211326
-4942.200424,1,8.218313
-2234.478209,2,8.232269
-2250.203443,1,8.238286
-1083.351774,2,8.252218
-3611.987705,1,8.259197
-9762.46277,2,8.27316
-1854.478045,1,8.280159
-3768.857932,1,8.287159
-1186.229066,1,8.294102
-7230.141969,2,8.307069
-7946.819263,2,8.319071
-1284.127455,1,8.326018
-1925.22644,2,8.338982
-1542.82248,2,8.350952
-3496.323498,2,8.363918
-7200.0,1,8.370931
-3222.113851,1,8.377878
-1312.988851,1,8.386116
-1026.72769,1,8.394096
-2098.285053,1,8.401076
-1282.579116,1,8.408088
-3117.916012,1,8.416035
-3930.272845,2,8.429693
-2002.388133,1,8.436708
-3848.248421,2,8.451635
-1617.427648,1,8.458615
