#{"t_start": 1638265685.557072, "env_id": "PathColav3d-v0"}
r,l,t
--4658.988799,2,2.998425--3580.400261,3,3.027349--3063.088978,2,3.05328
--1480.721388,3,3.065248--2245.344745,2,3.084197
-2380.969417,1,3.096169--2105.593556,1,3.107136
-3823.159402,1,3.117111--1259.341162,3,3.14304
-3849.282239,1,3.159
-1708.577407,2,3.178946
-4644.892536,1,3.186922
-1536.463467,1,3.196896
-1307.946566,2,3.214849
-4774.279129,2,3.230805
-3533.389825,1,3.23978
-5629.853331,1,3.248757
-2283.737089,2,3.267706
-4385.998985,1,3.276682
-3705.139169,1,3.286656
-3-6180.035203,2,3.310593-23-3042.075144,2,3.32954-4-1512.503412,2,3.349494
-1039.564122,2,3.371429-43-5439.539685,3,3.407337
-3627.966719,1,3.417306
-3253.568279,1,3.426281
-1706.013424,1,3.439249
-4585.76387,2,3.46019
-1716.511707,1,3.472158
-3821.793259,1,3.487119
-2368.059143,2,3.50906
-1450.077046,1,3.521029
-5286.144949,3,3.554939
-4238.347311,2,3.57987
-2776.007953,2,3.603807
-1843.191336,1,3.613779
-1506.576563,2,3.638714
-1862.610229,1,3.64869
-3233.756467,1,3.659679
-3875.752033,1,3.66963
-2950.365318,1,3.679612
-3882.280699,1,3.689577
-4052.459956,2,3.70753
-1073.24729,3,3.73346
-1124.63291,2,3.749419
-1012.615622,1,3.76339
-6189.782002,2,3.779337
-1329.430831,1,3.790309
-1875.8338,2,3.80826
-2260.188281,1,3.81923
-1303.294147,1,3.828207
-1008.12648,1,3.839178
-1343.374259,2,3.857129
-1183.582512,1,3.867105
-3623.04,1,3.875081
-3878.102521,1,3.887056
-7529.918678,2,3.908992
-4451.857377,1,3.919961
-2894.580243,1,3.931932
-4847.459566,1,3.939907
-2034.685849,1,3.950879
-2064.440609,2,3.969828
-6880.150192,2,3.993763
-1252.731033,2,4.014707
-4566.05972,1,4.023683
-1497.153246,1,4.035652
-2236.073862,1,4.048617
-2443.668568,3,4.076542
-3993.273831,1,4.086517
-6157.835716,1,4.096489
-3963.773029,1,4.106461
-1457.970878,1,4.117434
-1375.554668,1,4.129402
-3987.752606,2,4.147353
-2900.08405,1,4.156329
-10285.542721,2,4.177272
-2951.592362,1,4.188243
-1646.994034,1,4.199214
-1533.49778,1,4.208189
-1073.644352,1,4.220159
-3824.001274,2,4.23911
-1525.791686,1,4.251076
-3856.269202,1,4.262053
-2158.969346,1,4.274013
-1381.-7410.704609,2,4.278-3399.-5597.187977,2,4.297951
-1912.983891,1,4.310923
-1368.807149,1,4.320889
-1147.859516,2,4.338842--2301.832459,1,4.349812-3343.319789,1,4.340822
-2755.890564,2,4.357777-8329.829614,2,4.398682
-5986.573674,2,4.421629
-1455.040571,2,4.440569
-4282.273062,2,4.465502
-1179.175013,1,4.477473
