#{"t_start": 1636025556.8514917, "env_id": "PathColav3d-v0"}
r,l,t
-1095.557524,8,5.879412
-1369.542043,3,5.913321
-1059.334041,5,5.96219
-1613.013288,9,6.049956
-1142.014937,10,6.170633
-1536.006128,8,6.256404
-1221.140134,14,6.394036
-1250.813661,7,6.45587
-1033.779445,2,6.468836
-1000.698871,9,6.543635
-1896.724943,16,6.676281
-1055.467854,8,6.731135
-1394.285849,4,6.762053
-1698.355683,4,6.784991
-2226.821396,6,6.818901
-1143.500196,7,6.863434
-1154.601257,20,6.999665
-1861.672994,11,7.069476
-1119.753789,14,7.172663
-1286.981563,3,7.193643
-2329.843318,4,7.223448
-1412.411731,8,7.272352
-1874.741788,6,7.312217
-1036.953596,12,7.390492
-1626.692611,4,7.418417
-1059.364577,7,7.466158
-1522.646477,15,7.566887
-1030.644924,6,7.603789
-1132.349227,9,7.660636
-1256.181133,9,7.721229
-1378.14467,12,7.798313
-1524.268498,16,7.901038
-1030.529141,17,8.008751
-2064.560394,11,8.075903
-1095.384586,4,8.102831
-1445.426875,6,8.142723
-1470.795732,9,8.196667
-1458.995638,11,8.27047
-1216.054125,4,8.298395
-1048.975554,7,8.344272
-1822.01995,8,8.394139
-1105.365149,10,8.455975
-1000.043166,7,8.501851
-2433.170397,7,8.549732
-1073.550754,4,8.575664
-1105.150942,4,8.600632
-1758.549165,6,8.640092
-1286.076662,7,8.685424
-1092.786589,5,8.722291
-1219.027407,12,8.802078
-1061.635456,5,8.838982
-1385.438974,8,8.893832
-1085.887671,6,8.93417
-1992.154466,5,8.968112
-1493.12572,6,9.008373
-1139.7025,13,9.094147
-1230.716046,7,9.13906
-1286.335417,15,9.233691
-1027.645785,11,9.303195
-1555.36564,12,9.377002
-2046.973352,4,9.403927
-1204.70727,9,9.463767
-1013.330212,2,9.47773
-1004.117819,6,9.516498
-1086.162909,8,9.567898
-1741.355836,6,9.605797
-1343.749036,7,9.652671
-1028.039067,9,9.715303
-1115.579092,18,9.833584
-1793.295025,4,9.860512
-1002.25482,6,9.89841
-1530.406463,5,9.949306
-1398.372704,7,9.994154
-1074.335,6,10.034531
-1071.430183,9,10.094371
-1150.72735,6,10.135295
-1255.77492,4,10.164184
-1266.3622,15,10.258965
-1064.100461,10,10.323757
-1370.405357,10,10.388406
-1196.927179,4,10.414336
-1024.506354,10,10.484149
-1282.09754,8,10.534017
-1612.779259,8,10.59389
-1281.716122,5,10.625804
-1039.131827,19,10.750864
-1220.943307,16,10.882105
-1627.008341,9,10.96674
-1254.221935,6,11.01162
-1357.579864,10,11.119215
-1024.703185,4,11.159108
-1182.232353,3,11.190025
-2075.397118,8,11.250862
-1359.299548,9,11.308708
-1527.340708,7,11.358574
-1209.490268,4,11.391486
-1829.943015,5,11.434372
-1001.000728,6,11.480249
-1264.385027,5,11.519154
-1592.636114,14,11.616892
-1307.826756,12,11.701681
-1530.98758,3,11.725603
-1302.551448,12,11.812371
-1062.721306,6,11.858247
-1706.980679,5,11.904124
-1051.720664,4,11.941026
-1068.035875,10,12.021811
-1638.453143,4,12.054724
-1046.272806,17,12.181384
-1008.264172,10,12.249234
-1495.862682,8,12.30406
-1006.512636,7,12.349648
-1466.727788,5,12.381596
-1143.786663,15,12.486283
-1056.175495,11,12.626502
-1067.19272,4,12.67636
-1843.216503,8,12.842166
-1501.608342,4,12.919945
-1316.985873,16,13.124398
-1426.053737,13,13.33683
-1648.772889,6,13.438557
-1107.645787,8,13.502385
-1336.65306,5,13.553251
-1505.624527,5,13.591148
-1194.225188,7,13.668941
-1205.554042,12,16.533996
-1405.913065,4,16.578875
-1487.029434,3,16.631745
-1953.872982,3,16.678611
-1247.190619,3,16.736465
-1118.204546,8,16.902012
-1014.114622,9,17.058517
-1164.728341,6,17.13531
-1220.014761,8,17.295875
-1129.296745,5,17.45844
-1603.748729,16,17.792455
-1717.116298,3,17.867271
-1691.333818,7,17.995911
-1226.784551,8,18.143516
-1055.21311,8,18.309075
-1159.469599,8,18.482609
-1629.081564,4,18.558338
-2266.223122,5,18.655082
-1155.335969,15,18.923461
-1960.857577,7,19.051122
-1035.95994,12,19.258565
-1396.278607,9,19.440665
-1351.579305,10,19.611209
-1000.08135,5,19.692179
-1095.158917,7,19.833318
-1026.521507,11,20.031812
-1698.472673,6,20.163461
-1377.004449,8,20.293635
-1017.805037,8,20.437765
-1426.175456,10,20.605826
-1093.53075,10,20.842678
-1157.521104,13,21.091976
-2277.074992,4,21.214686
-1604.516508,5,21.282564
-1587.79693,10,21.465119
-1312.892892,5,21.577885
-1150.485752,10,21.861238
-1355.765241,5,21.969441
-1465.137209,3,22.048247
-1062.902509,9,22.278884
-1145.673932,9,22.471409
-1297.653338,8,22.731194
-1006.273797,14,23.549126
-1212.669969,10,23.998001
