#{"t_start": 1637914095.1313365, "env_id": "PathColav3d-v0"}
r,l,t
-3467.896411,2,3.468781
-1389.421389,1,3.484404
-2322.841018,1,3.484404
-2502.816496,1,3.500024--1313.98199,1,3.500024
-2041.726531,2,3.515646
-1111.708677,1,3.54689
--2803.029156,3,3.546888
-1076.99822,1,3.562518-1-2398.531836,1,3.562518-13-1152.840311,3,3.597238
-2029.31764,1,3.60721
-2240.311186,3,3.61929
-5718.690741,4,3.659922
-3821.80942,1,3.666905
-3733.332637,1,3.676877
-3183.715054,3,3.698818
-2518.819601,1,3.708792
-1618.639483,1,3.71677
-2541.071687,1,3.72475
-2249.716454,1,3.731766
-5366.914913,1,3.748722
-2505.803643,1,3.756664
-1366.726902,2,3.770627
-1995.158802,1,3.777608
-2668.35375,1,3.784624
-8525.080151,2,3.800547
-4384.879481,2,3.824482
-5399.665357,1,3.839443
-1402.176144,1,3.846424
-3343.320017,2,3.862381
-1878.22042,2,3.882327
-3552.010682,1,3.895293
-4205.8463,1,3.901277
-5431.808997,2,3.916236
-1143.94111,2,3.931196
-4814.84753,1,3.936218
-1666.428995,2,3.936218
-4948.821008,1,3.951839
-1035.540052,2,3.967462
-1082.397281,1,3.967462
-1668.561935,2,3.983083
-2213.489205,3,4.014327
-1860.66895,1,4.014327
-2700.326647,1,4.029946
-3558.163389,1,4.029946
-2230.58935,1,4.045568
-1958.800462,1,4.045568
-2544.944711,2,4.06119
-1427.400774,1,4.076811
-1661.488702,1,4.076811
-4219.716864,1,4.092432
-2698.332251,1,4.092432
-3073.640716,1,4.108065
-1287.272995,1,4.108065
-1072.335797,2,4.139297
-2459.900942,1,4.139297
-2274.335257,1,4.154928
-1889.635445,1,4.154928
-3521.986908,2,4.170538
-1846.477583,1,4.186164
-4170.013998,3,4.201798
-1162.583881,2,4.217402
-3122.137632,2,4.233025
-2797.824724,1,4.233025
-3797.056961,1,4.248646
-2777.72238,1,4.248646
-1021.922192,1,4.264298
-2810.681671,1,4.264298
-2231.392313,1,4.279919
-8937.571529,2,4.295509
-3888.389425,1,4.295509
-1807.988903,2,4.311131
-4856.662146,3,4.326751
-4272.97305,1,4.342373
-3400.671241,2,4.357995
-3703.144506,1,4.357995
-3462.923323,1,4.373615
-2563.60171,2,4.389245
-1732.316542,1,4.389245
-1401.166464,2,4.404859
-1310.641491,2,4.42048
-1843.68151,1,4.436103
-2675.125601,2,4.457926
-5616.783273,1,4.467901
-1813.711424,1,4.47887
-3563.597618,1,4.488844
-1312.077759,2,4.506796
-4156.124062,2,4.522754
-2573.07783,2,4.540707
-3974.548796,1,4.548683
-1538.96636,2,4.562646
-2262.805883,2,4.577607
-1504.596296,2,4.594527
-1060.78302,1,4.601506
-1994.663727,1,4.61148
-2716.824644,1,4.617596
-5880.257938,2,4.642608
-5418.424962,1,4.650743
-1922.883102,1,4.650743
-3504.697839,2,4.666366
-1821.601567,2,4.690343
-3140.963413,2,4.702077
-1503.316567,1,4.702077
-2090.971285,2,4.717693
-1806.597199,2,4.748937
-1035.592562,1,4.748937
-2918.077487,1,4.770623
-1555.613713,2,4.785583
-4794.291673,2,4.800542
-8051.904327,2,4.814505
-3418.804495,1,4.818701
-2572.380271,2,4.818701
-1170.480477,2,4.849944
-3591.820123,1,4.849944
-1033.372411,1,4.849944
-3610.06482,1,4.865565
-1131.753757,1,4.865565
-4323.534022,1,4.881186
-2473.760039,1,4.881186
-3919.591434,1,4.896808
-2178.542911,2,4.917166
-3871.856229,2,4.936114
-2551.218371,1,4.947083
-6227.870883,2,4.963041
-3512.054009,2,4.980993
-4092.882628,1,4.989969
-2169.399601,2,5.005942
-1062.685532,2,5.019891
-3409.435915,1,5.02687
-2309.357309,2,5.035463
-1705.894445,1,5.035463
-1446.603294,1,5.051118
-2032.097758,1,5.051118
-2659.367159,1,5.066708
-2826.298116,1,5.066708
-2375.623989,1,5.082349
-3369.318872,1,5.082349
-2070.933024,1,5.097951
-2269.593888,1,5.097951
-3300.057886,1,5.113574
-3920.662862,1,5.113574
-3109.618572,1,5.129191
-2157.307291,1,5.129191
-3079.962604,1,5.144813
-3849.414843,1,5.144813
-1321.542474,3,5.176087
-2807.225739,1,5.176087
-1046.756465,1,5.191676
-4534.098107,1,5.191676
-2732.256274,3,5.236229
-3427.547958,1,5.249194
-2508.296492,1,5.260166
-2101.3907,1,5.274132
-4014.89365,1,5.282106
-2181.333332,1,5.294073
-1039.607127,3,5.321004
-2606.593763,2,5.353916
-4040.042353,2,5.381185
-2847.177619,1,5.390883
-2436.05556,1,5.406505
-3837.812181,1,5.422126
-1599.468775,1,5.422126
-2810.976888,1,5.43775
-6178.231169,2,5.454727
-1423.908027,1,5.470655
-1352.248499,1,5.47976
-1788.691013,1,5.47976
-1991.837062,1,5.498676
-1661.475247,1,5.498676
-2333.64699,2,5.525588
-1815.571639,1,5.533566
-1838.470476,2,5.554512
-4693.258037,1,5.568478
-1120.995289,1,5.579444
-1420.301619,2,5.606372
-1074.549417,1,5.622329
-1544.054379,2,5.651252
-2627.537794,1,5.66322
-1401.744208,1,5.67419
-2837.615914,2,5.690148
-1993.417326,1,5.697129
-1972.624224,1,5.707103
-1928.272686,2,5.731054
-1083.475413,1,5.745998
-1128.613981,1,5.755972
-3623.020844,1,5.76395
-2494.131658,1,5.77492
-4486.237338,2,5.795864
-3034.476024,1,5.804848
-4350.25689,1,5.812819
-2375.947817,1,5.822791
-1032.413734,1,5.83077
-1449.793292,2,5.846728
-1429.483124,1,5.856701
-2417.599025,1,5.863683
-6244.118965,3,5.890618
-2488.687147,1,5.898589
-5379.539436,2,5.92053
-1367.752637,1,5.929506
-1626.864709,1,5.937485
-4245.956322,1,5.944466
-2165.476738,2,5.961421
-1353.831736,2,5.978375
-1387.425257,2,5.992338
-1992.617429,2,6.009294
-2972.602792,2,6.025249
-2023.763355,1,6.033229
-1974.76358,2,6.048188
-1807.024682,1,6.056167
-5089.331743,2,6.073122
-1113.26903,1,6.081101
-1212.470767,2,6.097057
-2681.773892,2,6.114013
-4113.729613,1,6.124985
-6024.166125,2,6.147921
-4275.410484,1,6.1559
-1357.893915,1,6.162881
-2692.94974,1,6.17186
-1288.519067,1,6.181832
-3741.665469,1,6.194796
-2207.09081,1,6.202781
-2784.543587,1,6.209756
-1896.514258,1,6.217734
-2815.840968,2,6.234689
-3044.737508,1,6.244663
-4401.060345,1,6.254642
-2058.779348,1,6.261618
-1611.15904,1,6.270593
