#{"t_start": 1636577571.045159, "env_id": "PathColav3d-v0"}
r,l,t
-3918.403769,14,8.512838
-3034.717952,9,8.605213--3923.977129,7,8.667699
-3254.651921,10,8.728581--3610.469648,13,8.880541-3-3730.363991,3,8.918846--5188.208837,10,9.021954-5-3155.700842,22,9.294187
-3734.423798,11,9.415215
-4025.76675,10,9.516424
-5027.624898,3,9.556877
-3034.613758,8,9.634647
-3905.57887,6,9.697134
-3732.521473,11,9.789262
-6418.924836,7,9.858296
-3401.302525,5,9.911708
-4516.932628,9,10.011989
-3832.738683,5,10.063575
-5234.698666,3,10.094851
-5329.298002,6,10.158834
-5842.959224,6,1-3129.85540-3701.181802,6,10-5291.762675,12,10.374984
-3023.607926,15,10.5286
-3752.672149,12,10.660277
-3410.818774,6,10.713152
-3170.691788,6,10.791264
-3062.505111,8,10.904172
-3472.211648,5,10.950021
-3046.893109,12,11.065886
-3658.432849,9,11.150544
-5106.012662,16,11.282008
-4035.426476,11,11.382249
-3078.94432,7,11.46687
-3813.313538,11,11.58273
-3205.890191,4,11.622766
-4876.083954,6,11.673999
-3478.989325,11,11.798361
-4374.226677,3,11.836112
-3234.704627,11,11.951981
-3357.665617,2,11.967602
-3007.593694,12,12.085897
-4454.330378,12,12.183654
-4851.936533,4,12.214887
-3526.210388,11,12.283884
-3023.478178,9,12.352886
-3191.34074,12,12.453146
-3243.318757,8,12.537762
-3052.774802,7,12.600255
-3273.147777,11,12.816425
-3339.806913,11,12.919042
-4074.423364,3,12.938178
-3929.35911,19,13.062496
-5070.194777,8,13.131003
-3378.695833,4,13.169129
-3751.572471,3,13.200372
-3237.361565,7,13.270376
-3652.570412,5,13.317238
-3403.44166,8,13.370614
-4575.65507,8,13.439608
-3035.284046,12,13.533342
-3876.04226,6,13.571098
-3454.148585,12,13.670092
-3012.657077,6,13.716958
-3210.450954,4,13.755717
-3396.811652,8,13.80258
-3168.093437,4,13.840338
-3253.943647,4,13.871595
-3919.683232,8,13.940595
-3910.986405,4,13.971855
-3311.263368,10,14.056471
-3256.538814,10,14.121334
-3718.257513,7,14.156592
-4580.220293,6,14.187835
-3568.037809,18,14.303696
-3586.159556,14,14.403945
-3072.004544,8,14.441692
-3509.418942,5,14.472939
-4687.910459,4,14.504182
-5398.147472,4,14.519804
-3216.972874,5,14.557558
-3520.08138,2,14.573185
-3483.622376,14,14.670795
-3119.658193,11,14.730716
-5552.398788,8,14.773472
-3831.414307,13,14.842475
-5277.927875,3,14.873724
-3744.390578,9,14.920586
-4520.535747,4,14.942716
-3039.415926,9,15.005206
-3429.919721,3,15.020826
-4253.580675,7,15.07422
-3903.975852,14,15.205703
-3913.992332,8,15.243454
-6463.231692,5,15.274708
-3902.041411,15,15.343698
-3707.054152,9,15.406188
-3828.16481,6,15.43743
-3203.813947,3,15.443934
-3644.60372,3,15.475181
-5759.910256,4,15.490834
-3499.2699,14,15.575427
-6454.695513,3,15.591048
-3656.955281,6,15.622291
-3539.568406,6,15.660152
-4402.402893,6,15.697493
-3264.532651,5,15.728736
-3469.244056,11,15.791222
-3556.057944,4,15.822464
-7797.272604,6,15.844591
-3695.752433,12,15.922709
-3015.276952,7,15.960454
-4066.548261,9,16.007318
-3645.599139,5-3183.418681,23,16.076261
-5757.452853,15,16.145249
-4617.863542,4,16.176496
-3465.697451,3,16.192117
-4374.630281,5,16.22336
-3322.879841,7,16.261112
-3804.769388,10,16.307977
-3070.334993,6,16.345759
-3005.997396,21,16.461658
-4707.674678,7,16.508496
-3366.072743,6,16.539767
-4034.452527,10,16.593205
-3277.53095,6,16.624449
-3922.281408,4,16.646609
-3211.97147,13,17.510868
-3119.181196,11,17.564245
-4025.758641,9,17.61114
-4365.457009,3,17.626729
-3664.637973,4,17.664557
-5053.715724,4,17.680178
-3161.574369,7,17.724121
-3403.53329,17,17.811777
-3027.882156,20,17.927654
-3836.70389,9,17.965479
-4724.657281,5,17.996715
-3607.552092,3,18.012305
-3118.362045,7,18.049795
-4080.198198,3,18.06542
-3709.059572,9,18.127938
-3683.438267,5,18.150066
-3249.933488,4,18.181314
-4666.230253,9,18.228211
-3048.110486,4,18.250368
-4075.481091,14,18.328513
-3678.450844,8,18.350639
-3456.00674,8,18.397538
-5572.124135,4,18.428751
-4353.650136,4,18.4-3244.32-3937.85675,9,18.49-3294.9-3683.835082,11,18.551215
-3072.986372,11,18.613706
-3280.47086,7,18.651491
-3181.044739,3,18.667-3272.-3304.108413,7,18.725701
-3788.301248,7,18.751516
-3022.049953,5,18.798383
-4167.371553,5,18.814005
-3444.418765,22,18.945548
-5287.246479,6,18.967734
-3943.667554,4,18.998981
-3067.59564,9,19.052316
-3217.030479,3,19.06-3120.1-3443.095177,8,19.114806
-5287.410898,6,19.152587
-3122.607533,9,19.199486
-3385.643436,5,19.230729
-3072.426375,4,19.252871
-3516.405625,4,19.284126
-3727.160054,9,19.330992
-3356.227352,4,19.353149
-4854.640183,6,19.38443
-4825.637886,4,19.415647
-3139.067892,6,19.453501
-4524.527782,6,19.484787
-3616.080638,7,19.531614
-3116.88232,5,19.553785
-3589.135937,14,19.631895
-3850.891323,8,19.685367
-4055.037724,7,19.-3124.252-3105.809287,5,19.7-3329.3-3587.754994,5,19.7-3161.53-3076.219412,12,19.8-5276.10-3798.83185,9,19.88-3014.977076,14,19.917127
-3019.9724,15,20.001831
-3934.62183,4,20.033039
-3483.445276,9,20.07066
-6490.658331,5,20.101871
-3924.424776,6,20.133148
-4320.550597,5,20.170948
-3064.3-3951.472692,21,20.271185
-3537.709215,7,20.318081
-3285.743513,12,20.387043
-4351.405622,3,20.-3197.006019,17,20.471659
-3948.728942,13,20.534176
-3120.22837,10,20.587556
-6704.207497,9,20.650041
-4766.381693,8,20.687824
-3407.836295,5,20.719037
-3185.238704,8,20.765886
-4740.643344,11,20.828403
-3390.775248,4,20.857035
-3681.785477,12,20.919259
-3527.643769,3,20.950501
-3009.433989,12,21.019566
-4867.765868,5,21.050804
-3433.499799,8,21.088587
-3465.568836,15,21.173234
-3389.71846,13,21.235719
-3655.774305,8,21.273511
-3456.132748,19,21.389371
-3197.433112,14,21.47399
-3091.504382,9,21.520885
-5681.314136,5,21.558612
-3040.13079,14,21.636726
-3614.019055,7,21.674577
-4625.935612,3,21.6902
-3950.030687,7,21.752652
-6485.974482,8,21.795304
-3479.612518,14,21.875495
-3224.461324,4,21.891079
-3156.276592,12,21.96014
-4199.509678,4,21.991422
-3617.099484,6,22.022632
-3090.952256,7,22.075848
-3649.055449,6,22.107093
-3712.573904,9,22.160475
-3067.224968,13,22.238587
-6186.882337,3,22.254239
-3463.810324,11,22.307645
-3905.831722,5,22.338919
-4277.008342,10,22.392261
-3440.117712,17,22.49253
-3515.902541,5,22.523774
-3193.492601,5,22.539428
-3096.655907,12,22.60842
-3998.7826,14,22.677486
-3804.134554,9,22.73997
-3361.862387,12,22.809051
-3568.480426,8,22.86242
-6164.194855,5,22.893699
-5774.288504,4,22.909328
-3062.829972,16,22.994005
-3467.871942,10,23.056495
-3485.273116,6,23.078625
-3142.548899,4,23.109899
-3947.654643,8,23.156732
-3805.954571,13,23.22576
-3141.10809,6,23.257018
-3191.54853,12,23.98068
-3223.815911,9,24.027545
-3038.37732,8,24.080726
-4082.609627,4,24.096317
-4174.161494,5,24.127563
-3173.995464,9,24.181003
-3374.173604,10,24.227867
-3062.113048,10,24.281289
-4108.426712,6,24.312539
-4511.586993,7,24.343772
-3572.01156,3,24.365933
-3489.13022,3,24.381598
-3049.107416,10,24.428422
-3427.195782,13,24.497465
-5978.415582,7,24.528741
-4729.445727,8,24.582179
-3709.349774,6,24.61339
-4234.053061,19,24.713672
-3629.942589,12,24.78266
-4975.156523,8,24.821096
-4158.906583,7,24.86686
-3344.537776,11,24.929382
-3659.434571,8,24.982724
-3004.904573,12,25.04521
-3599.64548,5,25.082962
-3867.345255,8,25.129826
-3026.061905,9,25.183198
-5085.547309,4,25.19882
-3467.556857,4,25.230108
-3370.866687,17,25.314679
-3987.189981,4,25.345927
-4696.378365,4,25.368059
-3447.829899,8,25.414926
-3055.182904,13,25.483954
-3436.236586,9,25.530786
-3024.067851,3,25.546437
-3192.637553,15,25.631087
-3005.868473,3,25.646708
-4008.715419,13,25.715791
-4973.126246,7,25.762624
-3387.03171,4,25.784755
-3182.560639,9,25.833627
-3003.886006,11,25.900659
-4418.663276,4,25.916244
-3554.455535,14,26.000863
-6076.095757,6,26.032137
-3007.458389,10,26.085318
-3385.883637,14,26.169798
-3862.883868,8,26.201097
-3573.038902,2,26.216715
-3446.504073,8,26.263579
-3856.682671,11,26.317014
-3943.642826,16,26.401652
-5216.701985,13,26.470683
-3850.156196,5,26.517552
-4311.602759,10,26.570956
-3119.260644,11,26.617824
-3092.151814,13,26.686926
-5381.052793,3,26.718165
-3459.334883,7,26.749376
-3791.058815,7,26.787149
-4695.383705,3,26.802808
-5270.890729,17,26.902672
-3448.235321,12,26.971728
-4861.078972,7,27.003023
-3198.852627,4,27.034223
-4478.364363,5,27.065461
-3594.783499,3,27.087626
-4272.157904,8,27.134491
-3126.200047,13,27.187902
-3004.188032,11,27.250423
-3027.303467,13,27.35066
-5167.393441,15,27.435287
-5224.875751,8,27.488702
-3081.409742,18,27.604525
-4232.279544,7,27.651397
-3255.159238,8,27.704783
-3138.114698,9,27.773773
-3632.899059,2,27.773773
-3533.00606,2,27.789398
-5085.858059,11,27.87379
-6210.907496,14,27.967522
-3109.82032,7,28.005276
-4194.692962,6,28.054428
-3997.551301,4,28.074061
-3771.414178,5,28.105308
-4165.075117,10,28.167794
-4038.261822,5,28.189935
-3489.780656,14,28.274603
-3877.786143,6,28.305882
-3533.068,9,28.352748
-3169.125941,7,28.390469
-3009.005001,5,28.421745
-3270.077392,11,28.475116
-3068.577753,16,28.553258
-3371.262265,11,28.6223
-3916.20857,14,28.706914
-3074.93559,3,28.738158
-3774.531072,6,28.775911
-3004.010173,10,28.857568
-6410.149834,10,28.907432
-3966.696515,15,28.99214
-3710.254908,4,29.007731
-3206.395354,10,29.054626
-5670.753076,5,29.092354
-3485.056826,8,29.123635
-3302.092139,5,29.154841
-6045.334649,4,29.176999
-6033.621862,4,29.20829
-3474.385088,4,29.223868
-3684.302104,16,29.324142
-3345.051288,19,29.424375
-3867.536755,6,29.45565
-3426.395861,14,29.52471
-3012.284017,10,29.578047
-3124.927136,8,29.624951
-3029.985489,6,29.656189
-3155.191628,8,29.709607
-3871.558335,4,29.725195
-3701.125425,7,29.772063
-5436.780622,5,30.458187
-4742.334861,10,30.511561
-3117.870298,10,30.558425
-3449.905424,7,30.596178
-3490.174553,5,30.62742
-3679.347768,5,30.661203
-3208.158492,4,30.680869
-3438.56895,6,30.712149
-3961.185118,21,30.843681
-3550.024705,12,30.903133
-3362.137043,5,30.934377
-3095.429692,15,31.028031
-3078.587881,10,31.081402
-4430.568461,5,31.112649
-4177.025953,10,31.159521
-4404.696983,15,31.244166
-3035.440885,7,31.281919
-3032.438144,8,31.32882
-3023.841235,14,31.413505
-3129.608174,4,31.42909
-3037.663951,25,31.560603
