#{"t_start": 1634726499.1261845, "env_id": "PathColav3d-v0"}
r,l,t
-2286.823416,501,8.353828
-6356.366965,501,11.018848
-4804.128385,501,14.88788
-1696.521663,501,17.577542
--1600.908514,501,20.887741-1388.399036,501,23.699179
-1183.133289,501,27.308623--1063.584142,501,30.018918--482.668101,279,32.178667--788.580718,501,35.089875--1121.333352,501,38.184724-2-1064.357216,408,40.30079-616-631.669629,446,42.6837-899.-712.926433,501,46.065-540.0-649.3097,501,48.718086
-643.112123,501,52.069594
-771.490388,501,54.753186
-696.895973,487,58.282131
-396.042534,298,60.169962
-265.855139,228,61.41731
-631.294768,501,64.917806
-727.594261,501,67.793437
-711.54929,501,71.109591
-834.867563,500,73.874719
-634.671617,501,77.048715
-658.544506,501,79.764292
-744.115944,501,83.578825
-645.045361,458,86.067967
-574.618869,501,89.469593
-318.065317,248,90.704067
-827.754213,501,94.009912
-201.973907,156,94.84994-652-660.058539,501,97.508422
-685.248233,501,100.759783
-561.817448,501,103.740833
-600.450401,456,106.872519
-472.622622,355,108.80626
-297.167463,231,109.97772
-663.865401,501,113.467972
-806.57229,501,116.123529
-664.899105,501,119.607665
-404.634433,287,120.988761
-585.487945,501,123.590786
-558.803793,501,126.838815
-660.065227,501,129.463575
-616.634024,501,132.705213
-604.157338,501,135.339238
-719.752755,429,138.159859
-736.625945,501,141.023785
-569.982384,359,143.638529
-664.350211,501,146.077007
-612.468031,501,149.411703
-554.206098,447,151.751878
-460.210448,343,153.511154
-469.421526,347,156.17817
-765.583254,501,158.931897
-575.637521,501,162.812858
-663.778812,501,165.874924
-736.062902,501,169.373854
-606.806266,501,171.99263
-711.505083,501,175.607726
-287.917378,246,177.369484
-706.58865,501,179.887875
-520.143208,433,182.814628
-730.758656,501,186.313795
-696.756492,501,189.946316
-321.786213,308,191.544753
-664.736266,501,195.640887
-584.176962,501,198.330581
-619.269186,501,202.562873
-642.059352,501,206.455169
-523.977919,436,209.227643
-183.643704,183,211.205727
-599.614413,501,215.50248
-576.134549,501,219.950074
-586.105987,501,222.569707
-189.88359,166,223.361548
-659.848672,501,226.504931
-573.120337,501,229.130644
-677.500945,501,232.396254
-304.504172,251,233.998623
-583.000578,501,236.618901
-573.381935,501,239.942728
-599.171188,402,241.897741
-585.602948,501,245.156321
-573.877592,501,247.66172
-634.522476,501,250.828311
-650.572456,501,253.426393
-219.903646,192,254.380845
-575.092134,501,257.646237
-237.065738,240,258.808283
-287.959045,224,259.93475
-411.58568,386,262.54343
-645.868042,501,265.000311
-512.712471,501,268.382311
-663.13501,501,271.061825
-536.725966,501,274.360208
-725.279624,501,277.289188
-630.730513,433,280.545145
-568.463851,402,282.588945
-668.554511,501,286.077313
-558.909059,416,288.924407
-575.686511,454,292.077859
-573.556534,501,295.635385
-343.140929,298,297.409995
-618.625135,501,300.886001
-704.285877,501,303.527929
-301.191932,268,304.952733
-537.77054,501,309.102
-454.033926,425,311.661077
-501.722774,501,315.62718
-536.339645,501,318.2802
-572.79252,501,321.498163
-365.415613,238,322.708343
-252.790965,221,324.042753
-546.969282,501,327.48702
-562.845264,433,329.737848
-646.597876,501,333.097274
-439.028696,328,334.80482
-238.211597,181,335.720816
-206.383528,194,336.693558
-631.940551,501,339.938697
-380.074453,356,341.595798
-589.020128,501,344.720978
-647.523924,501,347.207457
-200.802349,170,348.066171
-171.027562,149,348.769318
-221.935539,129,350.132884
-366.481282,318,351.70852
-466.515143,501,354.78051
-713.551904,501,358.097533
-568.39349,501,360.701944
-752.014736,488,363.969547
-629.632063,501,366.72721
-516.02317,415,370.313565
-799.406758,501,373.559489
-564.987836,501,377.726403
-400.224917,335,379.827612
-661.281802,501,383.010769
-199.854605,198,383.969605
-530.363547,501,386.647822
-536.151954,501,390.293707
-370.106821,309,392.082094
-345.836573,269,393.629255
-661.397143,501,397.059066
-552.978243,501,399.943576
-281.597207,244,401.243786
-183.027845,198,402.981722
-565.665197,501,405.761044
-517.802319,501,409.212431
-593.751841,501,411.963583
-251.207973,190,412.941852
-237.933777,202,414.861676
-186.8686,177,415.763403
-578.913081,501,418.508682
-498.632793,501,422.000075
-254.422331,277,423.593068
-335.756757,298,425.21076
-352.653414,249,426.527689
-596.225146,501,429.755439
-565.695979,501,432.261584
-542.483529,501,435.611706
-452.137122,499,438.21981
-517.003557,501,441.524853
-514.707387,454,443.878564
-493.114191,501,447.240253
-462.302043,396,449.329668
-541.634904,501,453.096434
-345.685392,386,455.0357
-629.141636,501,458.206778
-269.759865,222,459.426767
-178.709208,156,460.259433
-407.115964,301,461.676006
-679.984947,501,465.099631
-224.862092,196,466.053713
-260.704848,248,467.317635
-459.277276,369,469.875806
-179.430362,194,470.796918
-194.200419,176,471.659747
-593.218293,501,474.724133
-551.387881,501,478.183038
-551.930325,501,481.347988
-518.496031,501,484.536096
-551.758897,501,487.204526
-338.766716,285,489.364561
-241.698352,268,490.677784
-163.561289,161,491.504719
-161.578853,181,492.426924
-398.531579,320,494.782738
-204.634955,208,495.809281
-322.244104,288,497.271632
-471.09166,385,499.276229
-221.874338,234,501.206479
-185.160552,159,502.006981
-511.768194,501,504.524423
-265.754282,228,506.357917
-469.75255,501,508.989589
-169.039318,161,509.760981
-644.997904,501,513.03387
-267.372942,227,514.135166
-498.14346,501,516.833289
-343.042653,313,519.168813
-476.66862,501,521.786783
-187.946785,215,522.941743
-218.570344,184,524.595817
-161.410343,184,525.46628
-320.818634,307,526.931783
-231.249907,228,528.077553
-496.140226,501,531.451867
-310.584866,224,532.57018
-245.190874,260,534.318148
-266.44955,311,536.794799
-586.989885,501,539.475592
-523.003154,501,541.987543
-282.374728,297,544.130129
-417.78207,501,546.760833
-128.548262,164,547.55264
-264.29092,228,549.453163
-130.352597,158,550.22238
-151.183315,187,551.083234
-560.297318,501,553.604767
-178.874794,146,555.002566
-514.291375,501,557.541886
-161.596131,170,558.374872
-608.46873,501,561.688818
-104.518159,164,562.482283
-158.432815,185,563.408103
-141.33733,144,564.141201
-274.511486,272,566.256923
-138.523542,157,567.069763
-180.496132,180,567.939424
-134.933044,173,568.753568
-213.214859,213,569.832187
-206.12444,188,570.869513
-559.356119,490,574.189774
-489.906403,501,576.82933
-277.908827,219,578.676347
-589.23058,501,581.345956
-244.241469,235,582.460004
-167.50287,183,583.322617
-162.447896,184,585.032595
-131.99244,185,585.93775
-148.70391,162,586.703605
-206.402931,239,587.858798
-470.441957,432,590.75694
-153.773464,182,591.67696
-340.635572,250,592.913218
-124.486211,186,593.799875
-141.289806,172,594.615581
-306.93114,272,596.826603
-180.343351,197,597.741829
-291.150486,222,598.852554
-119.815122,144,599.551178
-128.273657,172,600.431557
-287.802021,268,602.45214
-273.420108,249,603.673873
-147.566732,175,604.594447
-189.755152,186,605.553457
-174.979649,186,606.516843
-466.638196,501,609.839291
-423.853257,501,612.517131
-186.905564,175,614.046864
-198.90599,173,614.882702
-144.989667,152,615.703404
-119.914552,174,616.544198
-324.228854,253,617.737042
-214.900459,225,619.528366
-129.92001,185,620.412092
-165.130948,208,621.379504
-155.57971,180,622.357518
-238.88976,248,623.645055
-122.179255,176,625.219802
-162.643418,189,626.141338
-464.708008,498,628.641052
-147.354449,191,629.552504
-263.899937,234,631.326172
-521.783443,451,633.637054
-246.277224,218,634.661346
-480.336842,501,637.972458
-171.362721,183,638.876109
-209.975809,217,639.878422
-139.255041,164,640.634373
-485.184753,501,643.945707
-107.058144,149,644.688386
-128.234152,185,645.63654
-199.687647,231,646.723635
-171.864055,188,648.293436
-114.558901,142,649.042434
-207.475462,203,650.123147
-347.103329,337,651.834549
-130.150874,165,652.662045
-103.036056,161,654.104477
-209.464968,220,655.217049
-160.939706,186,656.195433
-261.101788,255,657.479159
-377.582016,371,660.090472
-239.773833,224,661.151667
-119.840491,137,661.792986
-127.479018,168,662.620546
-470.063118,477,665.72565
-113.390446,153,666.43871
-586.349018,501,669.07367
-140.069256,167,669.902123
-190.440424,178,670.741833
-150.231198,151,672.183945
-355.015482,387,674.168636
-254.966208,281,675.585845
-138.955145,168,676.416623
-111.429473,156,677.891437
-419.314959,501,680.46256
-120.591693,158,681.215546
-201.177469,225,682.267732
-117.772814,165,683.718433
-121.108028,148,684.400396
-132.936675,176,685.315705
-229.360734,230,686.441183
-132.554737,172,687.249057
-529.567583,501,690.535024
-119.767316,188,691.532642
-228.710195,240,692.712002
-82.779463,143,693.383209
-80.634371,145,694.742994
-137.121935,150,695.460338
-125.514222,151,696.219308
-465.737825,333,697.823113
-107.888281,160,698.576301
-118.603416,192,699.490329
-199.867126,184,701.086436
-277.595975,263,702.44595
-134.86767,147,703.127602
-182.267167,204,704.132998
-122.48814,143,704.790241
-154.073327,180,706.345911
-143.487599,183,707.336959
-454.837294,460,709.771252
-282.194467,227,710.892254
-161.163894,197,712.510197
-134.884282,159,713.255126
-181.733923,184,714.139659
-190.211881,206,715.112391
-242.804807,194,716.069794
-118.615456,134,716.70709
-105.656493,161,718.178155
-189.362075,197,719.102118
-223.045703,245,720.303644
-145.224875,191,721.310345
-202.511636,229,722.549056
-201.535073,189,724.130883
-200.028132,192,725.104057
-185.411328,176,726.040555
-143.354496,169,726.898294
-167.028528,186,727.812388
-116.899923,158,729.27259
-99.941824,159,730.028596
-517.365469,443,732.319129
-177.328248,184,733.194834
-115.804028,172,734.007471
-149.612531,150,735.405855
-94.2665,159,736.165825
-124.511081,154,736.916425
-143.709707,171,737.782145
-608.673974,501,741.094025
-95.895084,148,741.803128
-242.391799,246,742.961033
-122.303202,143,743.637545
-197.304824,208,744.632401
-76.857773,156,745.352507
-211.312389,234,747.28854
-102.680818,159,748.160345
-600.186138,501,750.614505
-512.567882,501,754.002621
-120.369035,147,754.691403
-134.236449,179,755.561118
-268.686229,318,757.218684
-131.751447,160,758.65662
-112.929727,158,759.421563
-481.251292,369,761.10606
-98.745045,161,761.873007
-396.279458,441,764.873796
-130.567408,160,765.749128
-634.319262,501,768.213298
-138.042693,188,769.831298
-389.565025,346,771.511378
-132.265801,178,772.351132
-103.578844,170,773.168946
-128.19972,185,774.038649
-204.664713,214,775.811135
-121.665073,187,776.717744
-128.332897,173,777.542503
-98.974598,167,778.324199
-87.776927,164,779.157996
-136.865321,182,780.036648
-203.842527,262,782.14732
-163.262494,247,783.386714
-140.357355,167,784.260396
-175.163238,243,785.563138
-173.208419,217,787.307598
-164.571132,181,788.234504
-237.305922,228,789.47632
-205.784644,207,790.58735
-116.140465,178,791.444148
-155.46053,203,793.172965
-122.458036,183,794.109706
-500.326638,501,796.77458
-127.457661,194,797.742989
-292.019774,321,800.112034
-174.769891,220,801.296093
-99.821158,162,802.310881
-91.24185,176,803.252363
-100.946013,160,804.043282
-163.138895,210,805.964111
-111.099711,171,806.898986
-454.761086,501,809.576826
-87.553034,177,810.419824
-156.800299,197,812.054418
-110.514502,163,812.920267
-158.723828,202,814.010916
-162.962019,205,815.107451
-140.325032,179,815.957228
-136.958376,190,817.582353
-284.491382,322,819.246252
-400.547027,361,821.017722
-162.787135,195,821.945242
-186.769005,202,823.59557
-137.160844,187,824.493169
-144.54073,164,825.300011
-171.278526,224,826.444177
-114.015915,167,827.267614
-82.949339,148,827.951822
-228.020189,195,829.667421
-171.55185,195,830.695059
-105.417567,184,831.678369
-93.839117,165,832.451318
-95.516533,150,833.169398
-122.166746,164,834.090504
-119.71288,153,835.558194
-133.325734,171,836.370988
-108.431096,170,837.236706
-682.642521,501,839.822155
-134.428102,193,841.416992
-150.052641,206,842.405825
-112.363176,165,843.175768
-130.89593,160,843.945707
-147.933807,162,844.700688
-341.034096,432,847.616689
-487.597872,501,850.214089
-140.33629,181,851.102481
-168.148674,202,852.738251
-106.361836,174,853.554078
-91.389097,152,854.296306
-106.690693,175,855.130772
-174.450383,211,856.142068
-113.380984,169,856.9804
-204.975361,214,858.717878
-163.134514,193,859.705237
-176.941292,177,860.569925
-137.251281,197,861.515397
-87.945425,147,862.219513
-359.255585,295,864.439373
-273.192907,236,865.591259
-139.304604,172,866.52661
-144.515585,169,867.326402
-134.590258,165,868.119281
-132.332949,181,869.662098
-477.900836,340,871.28486
-128.700978,170,872.11461
-172.181893,208,873.088004
-156.419438,192,874.116235
-101.926603,169,875.6231
-101.874153,168,876.480806
-174.418643,188,877.490106
-113.452087,161,878.364995
-113.823925,157,879.144978
-177.524672,192,880.053195
-111.238477,169,881.543869
-89.012057,169,882.408787
-776.728806,501,884.952019
-423.790828,374,887.585942
-123.643508,182,888.442662
-182.104234,205,889.459939
-180.458786,194,890.417518
-528.169888,453,893.283639
-111.376514,159,894.046613
-88.2864,155,894.772689
-253.623994,242,896.092876
-163.897533,197,897.042892
-262.035118,234,898.919301
-135.690272,193,899.816897
-273.927326,276,901.220145
-120.805588,150,901.938763
-525.02615,374,904.606418
-173.719815,179,905.453188
-138.044725,176,906.271963
-112.636881,182,907.155599
-110.68362,159,908.040949
-99.863551,157,908.850277
-542.272596,501,912.116492
-106.405194,147,912.836902
-106.750836,183,913.685041
-146.528922,184,914.58264
-109.811767,168,916.057227
-113.462226,163,916.813919
-138.277715,210,917.806033
-537.607092,501,920.356663
-163.307839,166,921.822482
-140.095487,185,922.804984
-112.655007,150,923.556974
-105.609248,165,924.394687
-122.872347,170,925.185942
-117.161913,162,925.959906
-99.865674,155,927.398522
-118.618392,180,928.335738
-169.023678,153,929.12762
-146.412083,188,930.123009
-144.890278,184,931.085469
-117.33154,146,931.802037
-110.626749,155,933.204343
-86.067153,139,933.85419
-102.862751,171,934.695938
-103.438747,166,935.483865
-133.385252,181,936.320593
-151.109492,192,937.233152
-139.77165,168,938.743114
-293.212897,318,940.387715
-116.820003,162,941.246446
-146.237711,167,942.139026
-96.239212,178,943.058667
-129.070532,145,943.796661
-143.18035,134,945.104002
-139.2887,146,945.790166
-120.880858,169,946.692752
-118.696769,170,947.630183
-102.046188,148,948.344487
-114.425032,142,949.019681
-154.308549,192,950.62951
-83.661874,185,951.482229
-136.820616,168,952.264138
-131.725482,196,953.199792
-116.990402,175,954.018164
-285.280151,230,955.106467
-214.901668,213,956.920845
-149.792652,161,957.767548
-133.290511,176,958.676118
-97.058882,173,959.48296
-114.55039,156,960.21899
-118.109955,162,961.678087
-115.471507,174,962.467108
-127.302144,163,963.261981
-136.85066,181,964.112706
-93.77782,168,964.915992
-258.244462,223,966.021037
-117.47781,171,967.488096
-96.715055,148,968.187349
-133.460394,177,969.010132
-126.456981,166,969.783117
-154.643313,178,970.60093
-137.192245,169,971.390817
-244.199291,223,973.141085
-101.841186,172,973.938986
-108.804121,165,974.712883
-124.896382,176,975.561613
-97.985706,160,976.330556
-212.691964,215,977.335893
-155.925305,197,978.952708
-106.7056,165,979.750543
-110.446608,166,980.548414
-153.754476,194,981.467786
-103.783265,158,982.234173
-180.847866,203,983.889345
-161.30524,211,984.903102
-111.938227,179,985.743485
-136.301706,175,986.594211
-198.487325,225,987.640413
-98.197668,169,988.455235
-124.718734,186,990.090077
-299.999146,337,991.759494
-158.843085,201,992.800709
-102.941529,170,993.562671
-187.016816,263,995.503778
-166.936298,182,996.361519
-532.503428,501,998.942412
-129.213956,174,999.870211
-215.056992,215,1001.708207
-158.107207,162,1002.538126
-104.480481,175,1003.392735
-94.925652,156,1004.157991
-182.83926,193,1005.09062
-93.652144,160,1005.837589
-103.122136,172,1007.351078
-130.288692,191,1008.349405
-103.186759,178,1009.194122
-230.835143,207,1010.192175
-108.598393,168,1010.966075
-91.394573,178,1012.477285
-144.520119,208,1013.473854
-129.215961,179,1014.382424
-498.710912,501,1016.980506
-165.864843,183,1018.563804
-94.381254,156,1019.285463
-136.564417,184,1020.150492
-110.273243,160,1020.906437
-121.24013,173,1021.758191
-151.989784,197,1022.682687
-99.447277,168,1024.183939
-100.744459,161,1024.953841
-136.856699,170,1025.766667
-219.843518,222,1026.798939
-109.592751,155,1027.551925
-126.050731,193,1028.482349
-98.072632,178,1030.03056
-81.106849,167,1030.845404
-206.157917,231,1032.027782
-135.482518,177,1032.874484
-128.659566,172,1033.687309
-98.882167,175,1035.200897
-120.16038,175,1036.144696
-95.627245,187,1037.147405
-84.216682,186,1038.108897
-86.344772,161,1038.875813
-106.054333,180,1039.720796
-295.353122,306,1041.869475
-121.024368,180,1042.721196
-127.241608,191,1043.6288
-220.424015,209,1044.722224
-114.715061,137,1045.365503
-153.903002,191,1046.988436
-188.333717,185,1047.888031
-144.762216,199,1048.87027
-90.878273,157,1049.655205
-128.228029,172,1050.599644
-123.468019,168,1051.452365
-116.674822,189,1053.035418
-115.991203,168,1053.840568
-101.425827,157,1054.593361
-139.110322,212,1055.71924
-126.785418,161,1056.578955
-149.713681,184,1058.249106
-408.506873,328,1059.767382
-123.778864,177,1060.609131
-127.866243,182,1061.464842
-256.204314,208,1062.440326
-118.441616,185,1064.057633
-155.092922,191,1065.052618
-93.029614,158,1065.856469
-116.444373,194,1066.774524
-155.834675,200,1067.690111
-216.570423,227,1069.521937
-120.281834,144,1070.210789
-117.107611,179,1071.048554
-95.635079,180,1071.896281
-91.26563,188,1072.779722
-132.492331,207,1073.753176
-138.719402,220,1075.459877
-123.220097,160,1076.183939
-114.220515,170,1077.425982
-151.981739,185,1078.287582
-74.497675,166,1079.06579
-131.097609,192,1079.948337
-119.599444,161,1081.45155
-80.756338,162,1082.240774
-150.774111,198,1083.149307
-145.095794,185,1084.065454
-94.373078,183,1084.944273
-118.911035,178,1085.798988
-138.65017,184,1087.330513
-147.196816,216,1088.419271
-119.187829,171,1089.213182
-124.605879,185,1090.099383
-107.840054,177,1090.938258
-165.753549,193,1092.538258
-391.801322,501,1095.060274
-146.843331,172,1095.875064
-115.792113,175,1096.691919
-95.164438,175,1098.164114
-169.980007,197,1099.100609
-116.53872,165,1099.866525
-120.47184,150,1100.82805
-88.642124,155,1101.610958
-108.516785,159,1102.383086
-178.116091,246,1104.219988
-121.161681,166,1104.957017
-102.386548,171,1105.920334
-94.763505,184,1106.844705
-138.360775,193,1107.726982
-182.546624,204,1109.375572
-140.24112,188,1110.318051
-142.966692,194,1111.370757
-145.815718,185,1112.375686
-138.43634,179,1113.215923
-365.725131,501,1116.853159
-215.730655,237,1117.988992
-204.25866,187,1118.879303
-111.137105,174,1119.719939
-94.26366,181,1121.228613
-116.865365,162,1121.985369
-89.139406,163,1122.745224
-108.073465,175,1123.57999
-92.886956,179,1124.422736
-308.945969,240,1125.57665
-132.281418,179,1127.097377
-109.148338,171,1127.992563
-104.958171,165,1128.863843
-97.467404,178,1129.73842
-165.161906,189,1130.649017
-118.65094,178,1131.464803
-105.47721,181,1133.01783
-128.546757,178,1133.864098
-100.796302,165,1134.687536
-110.514423,181,1135.55736
-128.367544,175,1136.791785
-86.985108,155,1137.679317
-713.952623,501,1143.355407
-104.364215,163,1144.65194
-115.995766,148,1145.520189
-92.948505,161,1146.627016
-80.020447,156,1148.329418
-115.471898,151,1149.094271
-117.184595,175,1149.955967
-111.078528,167,1150.787777
-116.854172,194,1152.296708
-104.443977,176,1153.319971
-113.162986,168,1157.452447
-142.611493,163,1159.157862
-137.251943,181,1160.835132
-130.974668,172,1162.627654
-119.396635,191,1164.075866
-113.648315,162,1165.240168
-107.749277,184,1167.575412
-108.445654,162,1168.428448
-123.093277,166,1169.43337
-116.154143,164,1171.080112
-118.002774,184,1172.708168
-121.118635,184,1173.83517
-107.065901,170,1176.754645
-115.71521,179,1178.414231
-137.207806,188,1179.503495
-102.370701,151,1180.351002
-112.912859,176,1181.601345
-104.563902,160,1182.607266
-132.16048,175,1184.469115
-129.73947,196,1185.854162
-150.907094,186,1186.864778
-446.897068,469,1189.744088
-107.34162,171,1191.410236
-326.56594,316,1193.4721
-143.784825,180,1194.423986
-149.521751,204,1195.517678
-91.492287,157,1196.323277
-94.72012,176,1198.069884
-108.899686,159,1198.933263
-119.009906,177,1199.908645
-126.886919,188,1201.000423
-128.692399,182,1202.06633
-305.42699,261,1204.422789
-124.658397,173,1205.398165
-120.780063,162,1206.249312
-103.963193,184,1207.217093
-89.148497,162,1208.069085
-525.254111,501,1211.646417
-142.682797,182,1212.661296
-130.002269,161,1213.517041
-105.291925,186,1214.49241
-123.585422,177,1215.440324
-96.962503,171,1217.080781
-261.479869,302,1218.836262
-217.167326,281,1220.322253
-80.784188,156,1221.218077
-115.086776,171,1222.144206
-361.65713,276,1224.352164
-132.865723,209,1225.47625
-132.113553,169,1226.373842
-146.608682,177,1227.331195
-142.820423,185,1228.319194
-83.68484,164,1229.916633
-120.184163,153,1230.707172
-131.858188,161,1231.599334
-113.401512,179,1232.531108
-98.014833,186,1233.520098
-129.343326,168,1234.416067
-105.678979,167,1236.163808
-106.597975,174,1237.073177
-106.509936,171,1237.989256
-120.404229,177,1238.920138
-112.142516,182,1239.889832
-121.929825,172,1240.825989
-84.513331,176,1242.512198
-120.890662,153,1243.316186
-101.98545,165,1244.17085
-122.684613,170,1245.144986
-141.077047,177,1246.100757
-259.305551,212,1247.202925
-165.788545,197,1248.993276
-131.77021,180,1249.993191
-128.12043,157,1250.814115
-81.166859,153,1251.637216
-81.554363,146,1252.384655
-90.468011,146,1253.147088
-133.91419,177,1254.855726
-116.368872,148,1255.698951
-182.041197,186,1256.683122
-111.277418,187,1257.61616
-130.417739,189,1258.579499
-117.528218,176,1259.478937
-198.452474,311,1261.799719
-156.255255,204,1262.833313
-114.122399,175,1263.693321
-127.94669,182,1264.610358
-101.705727,168,1265.445499
-98.830623,160,1267.060252
-104.062631,159,1267.908376
-102.583064,162,1268.745209
-117.539172,158,1269.592471
-107.742374,186,1270.613297
-124.497155,166,1271.464803
-176.112828,218,1273.339381
-105.661055,176,1274.282102
-145.788599,178,1275.24909
-87.105403,170,1276.217797
-131.047124,154,1277.039367
-115.30365,163,1277.922124
-614.072211,501,1281.512042
-91.028616,153,1282.33996
-88.44778,184,1283.307146
-91.238309,161,1284.166959
-427.953476,501,1287.859466
-218.595445,198,1288.889238
-155.329,190,1289.88259
-96.328263,165,1291.537073
-94.868812,171,1292.432911
-115.687526,180,1293.363166
-140.770538,178,1294.29301
-72.96094,161,1295.144301
-113.353541,188,1296.147721
-79.793231,148,1297.739197
-85.477654,145,1298.508947
-97.673933,186,1299.508619
-158.50805,178,1300.464773
-95.180442,167,1301.330142
-124.659476,148,1302.181468
-171.693243,184,1303.207122
-111.654417,174,1304.906152
-114.639492,161,1305.829914
-109.551379,157,1306.674117
-135.616356,194,1307.750041
-97.660318,155,1308.575942
-139.075376,185,1309.591078
-119.916337,177,1311.441247
-99.396524,178,1312.47377
-113.474109,162,1313.291204
-96.678319,176,1314.195086
-84.086355,155,1314.976323
-88.00766,162,1315.81224
-121.422498,168,1317.338108
-108.902356,182,1318.234802
-108.29628,167,1319.058295
-117.969638,177,1319.906559
-221.795416,227,1321.089207
-191.236223,186,1322.673906
-106.481495,158,1323.443667
-81.508552,170,1324.268389
-115.623453,167,1325.058276
-117.716267,162,1325.880093
-101.701104,174,1326.710684
-99.494963,154,1328.17562
-78.885526,181,1329.039494
-100.17476,161,1329.850325
-101.772428,169,1330.664172
-113.56808,172,1331.508261
-88.132379,172,1332.330068
-86.448628,167,1333.905604
-101.81494,174,1334.825723
-111.889836,150,1335.558762
-94.021634,172,1336.428482
-88.955458,158,1337.183949
-127.299245,180,1338.067268
-84.040138,154,1338.830228
-98.218358,149,1340.242862
-115.078324,154,1341.007491
-146.935761,176,1341.862898
-130.180511,148,1342.579016
-134.992499,183,1343.45863
-102.351964,167,1344.263478
-90.11142,165,1345.750256
-88.280437,157,1346.519149
-111.30049,161,1347.721642
-89.581876,162,1348.591967
-187.708714,178,1349.550246
-94.338546,170,1350.460505
-92.780878,169,1352.104467
-102.730695,163,1352.974589
-134.637426,155,1353.788843
-113.239192,190,1354.862429
-101.215228,181,1355.817257
-101.373169,146,1356.582232
-106.930261,158,1358.201353
