#{"t_start": 1637742225.1533496, "env_id": "PathColav3d-v0"}
r,l,t
-6955.339501,4,4.459404
-5774.275899,6,4.504875
-5294.781086,5,4.538857
-5737.843153,4,4.56519
--4203.404928,4,4.586397--8599.207338,4,4.611331-5460.174585,9,4.665294
-4499.970343,4,4.694239
-4091.928084,4,4.707998
-4017.020142,6,4.749758
-5992.528356,6,4.787247
-5711.502322,6,4.830428
-8184.831291,4,4.868722
-4904.419492,6,4.908726
-4206.757544,11,5.046274
-4391.019596,9,5.161306
-6188.724871,6,5.207982
-6406.98667,4,5.237327
-4155.043287,4,5.27056
-4177.475703,5,5.307249
-4940.213468,12,5.399532
-4493.898051,4,5.424464
-6443.020235,5,5.458373
-4159.186931,5,5.490813
-7392.217938,6,5.53538
-6546.572628,3,5.560309
-5415.768551,9,5.643509
-4047.27825,7,5.687913
-7132.696568,3,5.709506
-6057.571449,3,5.729459
-6431.986716,7,5.773217
-5635.364455,9,5.828285
-4260.205761,3,5.849846
-4875.848077,4,5.874736
-4695.355321,5,5.909449
-4281.201131,3,5.928398
-6055.585568,3,5.949358
-4191.643465,9,6.009506
-4576.87617,4,6.0361
-7506.946393,5,6.068029
-4383.909021,2,6.078965
-4709.267808,5,6.111955
-4348.318903,5,6.144526
-4140.145721,6,6.185349
-4038.616269,8,6.235523
-6994.319458,7,6.287617
-4024.905263,4,6.317255
-4644.116576,11,6.396346
-5264.727765,4,6.427232
-6658.084538,3,6.448065
-5502.52905,7,6.492507
-7480.683025,7,6.535106
-4733.008117,5,6.568265
-4092.018419,4,6.591492
-4669.895116,3,6.615269
-4158.325391,5,6.648545
-4178.07268,3,6.669279
-4926.045294,3,6.690119
-5441.09783,6,6.726426
-4209.815308,4,6.752361
-5514.329621,3,6.77004
-4064.776362,5,6.804482
-5914.482905,4,6.83535
-4100.163279,4,6.864249
-7371.178412,3,6.886044
-4246.447426,3,6.904472
-4801.354402,3,6.924337
-4183.116497,11,6.992953
-5940.395336,4,7.020283
-4223.589983,4,7.046301
-5560.848985,4,7.071233
-4655.768605,3,7.107142
-5166.471326,3,7.128463
-6113.91771,3,7.152401
-5386.532613,4-5718.601625-6056.205645,6,-5095.434585,4,7.243662
-5077.47122-8893.966933,5,-6503.84633-4782.29686,6,7-4183.2368-5525.841364,6,7-5428.4534-4588.25874,3,7.-4929.351-4341.676526,3,7.-4759.275-5784.765779,6,7.-5912.423-5396.405389,3,7.-4488.101-4898.142456,9,7.-5851.668-7104.303111,5,7.-6403.901-4488.046874,8,7.570934
-4369.465418,6,7.60661
-9542.997492,4,7.-7724.579-4786.763613,6,7-4353.8534-4350.466476,14,7.748493
-5427.644782,7,7.789272
-6116.079112,4,7.812279
-4159.246092,5,7.844202
-8368.655971,4,7.868963
-5243.629497,5,7.899568
-4551.525685,9,7.956301
-5038.371374,3,7.975245
-7378.100992,3,7.993306
-6754.815946,5,8.024137
-5236.399476,7,8.066422
-4014.275553,8,8.114981
-6255.478051,6,8.148862
-4393.682578,8,8.193424
-4252.272847,5,8.225218
-4610.904348,2,8.238481
-5430.42342,5,8.269393
-5162.112988,4,8.293335
-6490.499989,3,8.310177
-6826.854316,7,8.353587
-4649.289616,3,8.371656
-7523.728218,7,8.415525
-4489.849812,4,8.438157
-9095.28126,3,8.455632
-4511.82687,4,8.480465
-6435.463-7685.514509,7,8-4955.172379,5,8.544436
-4629.5922-4049.754196,11,8.604066
-5062.146322,5,8.635001
-5038.188762,4,8.660283
-6392.86176,11,8.721533
-6187.462772,4,8.74345
-4118.395749,4,8.767309
-5501.849272,5,8.796279
-4145.922648,5,8.8261
-4825.076,7,8.86729
-4463.52414,9,8.921366
-5398.468153,4,8.946337
-5222.391251,4,8.972502
-5706.202136,3,8.996037
-6018.106423,7,9.035371
-5767.928754,3,9.053277
-7515.744838,3,9.07-6599.2-5861.833696,4,9.095211
-6679.504422,5,9.126287
-5267.227968,6,9.162541
-4394.549613,6,9.196247
-4878.125515,6,9.230555
-4588.240327,7,9.271611
-5812.275194,7,9.315851
-4762.874739,4,9.340329
-7271.735539,8,9.388583
-4956.725208,6,9.426114
-4908.45749,6,9.464192
-4725.265002,6,9.499822
-4148.974018,4,9.523209
-6152.675247,7,9.563647
-5178.374966,2,9.576143
-5024.545639,6,9.616661
-4030.836594,6,9.650603
-5750.442816,4,9.673312
-4052.255536,5,9.703412
-4239.325535,7,9.745042
-5244.195208,4,9.771737
-4862.70153,7,9.811476
-4312.213481,6,9.847158
-4021.119559,11,9.91096
-6280.600589,4,9.937566
-12659.459078,3,9.95757
-6837.830031,8,10.004052
-6638.36414,4,10.027454
-4458.481569,3,10.04637
-4808.07024,7,10.08513
-4481.265774,5,10.11454
-6539.303362,4,10.140341
-4132.973829,8,10.186217
-5573.674852,6,10.221469
-4823.176115,4,10.245367
-7013.973431,4,10.272317
-4697.514451,5,10.303241
-4921.864603,4,10.327177
-4250.73818,8,10.375435
-5076.32414,4,10.403382
-5054.566129,3,10.423305
-4622.908217,6,10.458938
-5636.560288,3,10.47682
-8895.651673,9,10.524327
-5199.757214,6,10.560794
-5288.200053,5,10.592243
-5572.708557,6,10.627045
-4915.054402,6,10.662302
-4835.528731,6,10.696169
-5290.93997,8,10.746164
-5190.963569,9,10.798146
-4045.23297,4,10.820504
-4262.904096,5,10.849436
-7118.089871,5,10.879405
-10929.345998,4,10.90323
-6312.764158,6,10.943971
-5125.997278,5,10.97359
-6541.828764,4,10.997457
-5071.213079,3,11.017235
-4087.867619,2,11.029091
-5648.312337,4,11.060019
-4283.476949,9,11.911154
-4623.694504,2,11.924681
-5878.600955,6,11.960353
-4209.464472,7,12.002658
-4208.852166,5,12.033282
-6796.827418,4,12.054629
-4896.115489,3,12.072764
-6887.223765,5,12.105627
-4451.464891,4,12.130144
-5348.76942,3,12.152412
-5003.428606,6,12.191144
-7913.834457,4,12.220304
-5358.09434,3,12.241049
-4745.357307,5,12.270603
-6658.789991,5,12.300713
-4035.566196,3,12.319464
-4794.265568,3,12.338286
-4270.984797,6,12.373352
-6723.470318,6,12.410234
-4336.487041,7,12.454823
-4948.867504,9,12.508556
-9437.374226,3,12.528298
-6360.140821,10,12.58844
-7286.878475,3,12.607667
-6011.921582,3,12.645545
-5087.773738,3,12.667556
-6467.726568,4,12.6974
-5024.52863,5,12.730211
-6243.573183,3,12.749472
-5972.785603,5,12.779091
-5353.319157,6,12.814947
-4308.454246,5,12.845313
-4446.34055,7,12.888258
-6380.683866,5,12.916735
-4011.51173,6,12.952436
-6797.165906,4,12.97737
-4201.278378,6,13.015268
-5644.790192,4,13.037904
-5225.234387,6,13.074596
-5172.568602,3,13.093736
-7595.456593,3,13.113422
-4787.004744,4,13.137431
-4802.802945,9,13.190489
-7521.211701,6,13.227073
-5537.310282,8,13.274978
-6840.519395,4,13.29841
-4688.521294,4,13.323284
-4022.486627,6,13.361489
-4858.709692,5,13.39011
