#{"t_start": 1636021071.6983168, "env_id": "PathColav3d-v0"}
r,l,t
-1143.878307,19,3.876651
-1008.121711,16,3.952027--1097.975091,10,4.020843
-1619.589654,3,4.04079-1-1070.208832,14,4.134992
-1327.933144,9,4.189883
-1384.47087,3,4.211208-1-1986.583778,5,4.245085--2054.762658,6,4.284385-1081.597798,13,4.326846
-1115.104172,7,4.375272
-1071.659625,9,4.407191
-1015.403316,16,4.508903--1393.135886,3,4.531809
-1088.005784,14,4.620055--1307.027596,5,4.652966--1449.809008,6,4.690867-1052.212662,7,4.762254
-1054.662057,5,4.793266
-1345.988236,8,4.848788
-1071.445799,4,4.873756
-1093.026086,4,4.902325
-1060.646374,13,4.983109
-1199.651431,7,5.036979
-1132.642309,13,5.120756
-1232.075012,10,5.183973
-1755.544535,4,5.211671
-1195.488901,6,5.250598
-1519.232809,13,5.332382
-1155.322053,5,5.365766
-1294.625716,6,5.407685
-1061.069344,15,5.509927
-1879.00629,4,5.53582
-1421.194756,10,5.603729
-1107.554526,5,5.63767
-1014.380637,15,5.734607
-1512.543201,11,5.807303
-1636.115255,4,5.834027
-1027.545358,9,5.890582
-1103.48275,9,5.950288
-1323.745986,4,5.980135
-1101.823869,8,6.030998
-1878.612211,5,6.063941
-1805.487622,6,6.102806
-1087.325401,19,6.226822
-1246.680348,7,6.272705
-1859.83782,7,6.316237
-1349.695626,5,6.351178
-1702.999673,5,6.386982
-1350.786653,6,6.425878
-1026.51049,3,6.446824
-1310.208516,7,6.492295
-1824.270895,4,6.521648
-1266.013676,8,6.573653
-1034.251309,9,6.633614
-1293.425559,7,6.679304
-2418.557617,5,6.713244
-1514.93421,6,6.753403
-1311.828273,15,6.846083
-2174.362144,3,6.866536
-1460.540461,15,6.964671
-1032.971519,4,6.992414
-1287.406417,6,7.031312
-1279.371046,10,7.099359
-1094.596313,18,7.213005
-1231.01258,5,7.246359
-1084.964344,7,7.293443
-1032.539203,23,7.438155
-1415.225848,7,7.481489
-1500.108878,11,7.555013
-1098.226085,14,7.64913
-1052.749695,8,7.699993
-1274.631959,5,7.735028
-1360.663125,16,7.840118
-1364.631483,8,7.89109
-1205.125,3,7.910671
-1145.078831,5,7.945928
-1006.626984,10,8.006176
-1119.363017,14,8.099562
-1839.723446,3,8.118487
-1504.992933,10,8.184081
-1323.55314,4,8.212426
-1235.044517,9,8.2725
-1203.240302,4,8.300448
-1258.679316,8,8.355801
-1214.070826,4,8.383729
-1756.232626,7,8.427611
-1149.78382,4,8.453572
-1588.033159,11,8.524385
-1062.481098,8,8.573282
-1075.093364,14,8.650761
-1704.52402,10,8.725788
-1211.880304,8,8.780641
-1139.269725,8,8.842476
-1130.098384,7,8.889425
-1355.382339,19,9.013095
-1038.227173,4,9.042018
-1339.103059,4,9.06798
-1078.170404,8,9.119737
-1135.753294,10,9.185956
-1042.683795,9,9.245831
-1027.392045,6,9.289704
-1416.158501,14,9.381743
-1716.742042,6,9.420586
-1341.031672,10,9.48541
-1042.696978,5,9.519287
-1898.963381,5,9.551202
-1378.593835,15,9.648729
-1099.691343,12,9.729467
-1055.612122,4,9.758389
-1430.988708,7,9.800662
-1415.985065,3,9.822629
-1450.126482,7,9.870263
-1353.648283,12,9.95142
-1159.577713,5,9.985456
-1034.727994,5,10.019376
-1013.935133,14,10.110123
-1021.355924,11,10.171958
-1087.64291,13,10.254975
-1653.438809,12,10.331768
-1174.206053,5,10.363683
-1363.810743,4,10.388654
-1595.348879,4,10.420565
-1031.760011,10,10.487632
-1219.084659,4,11.395241
-1393.541527,13,11.472018
-2004.360695,8,11.525012
-1129.424256,11,11.592878
-1082.683711,10,11.65336
-1377.021422,7,11.703624
-2567.699851,6,11.750503
-1033.149275,4,11.787058
-1070.489014,14,11.893767
-1535.109773,8,11.960015
-1415.972516,7,12.015866
-1213.855958,14,12.13658
-1066.108949,4,12.173174
-1204.728632,8,12.224036
-1020.493039,11,12.331263
-1933.903444,5,12.410562
-1694.361078,7,12.501114
-1380.179226,6,12.547995
-1224.500169,11,12.629773
-1443.616827,7,12.676648
-1762.529605,5,12.702579
-1023.699926,3,12.722526
-1121.658998,6,12.759874
-1288.370645,4,12.78677
-1758.367637,7,12.830653
-1253.719604,5,12.863565
-1686.882863,6,12.901463
-1022.018208,17,13.0002
