#{"t_start": 1638265744.853022, "env_id": "PathColav3d-v0"}
r,l,t
--1807.123154,1,0.038898--2805.540949,2,0.057846-3340.768414,2,0.075798
-1735.487607,1,0.086769
-1046.327486,1,0.099736
-2-6316.277418,2,0.121676-2-1524.032573,1,0.132645-15-3387.858668,2,0.149601-10-5870.989284,2,0.171542
-2788.582139,2,0.192486
-2779.395484,1,0.203459
-5521.058051,2,0.221409
-1166.169196,2,0.238365
-2666.354623,1,0.246345
-3876.268382,1,0.255324
-3850.442763,1,0.263299
-1029.036241,1,0.274268
-1069.990844,1,0.28424
-1420.650959,2,0.3002
-2890.004927,2,0.316157
-2204.971515,1,0.323138
-1937.434399,1,0.332112
-1449.255354,1,0.342124
-4753.88833,1,0.351063
-2476.170449,2,0.37701
-1587.884255,2,0.396938
-2280.265042,1,0.408907
-4171.774983,2,0.424868
-1083.921793,1,0.436831
-1050.486981,3,0.461765
-4679.671939,3,0.483706
-2686.344836,1,0.48969
-1437.527563,2,0.502656
-2613.930859,2,0.515624
-2040.478004,1,0.523601
-1919.31443,2,0.53856
-3117.558906,1,0.544573
-2148.230657,1,0.552524
-3394.302886,2,0.565491
-3626.378605,1,0.57247
-1473.12469,1,0.580481
-1063.256582,1,0.586469
-4547.689173,1,0.592416
-6964.249765,1,0.599397
-1079.909874,1,0.60638
-1-1644.448543,1,0.612362-5610.45543,2,0.627322
-8388.525443,2,0.640287
-2820.117129,1,0.647272
-2716.114521,2,0.658263
-1207.065201,1,0.66622
-2395.160739,1,0.673199
-1342-2807.314311,2,0.6791-1444.477466,1,0.688159
-5048-4228.166847,2,0.701-1626.788421,2,0.709103
-2117.967999,2,0.725064
-2374.315709,2,0.739024
-3024.36785,1,0.746008
-2182.16775,1,0.752988
-1511.145503,1,0.758971
-1131.44258,1,0.766948
-3897.623794,2,0.779913
-1100.017-7430.798467,2,0.79288
-2153.446785,2,0.806844
-3836.682627,2,0.820838
-3299.825345,1,0.8-5893.70-1866.737507,2,0.840753
-3098.836215,1,0.848731
-6721.032789,2,-1808.787219,3,0.869675
-2396.96528-1850.997422,2,-4087.27545-1573.071323,2,-3022.577501,3,0.915551
-1635.481126,1,0.920538
-1006.246155,1,0.927519
-1090.67445-2553.442608,1,-2791.81602-2928.626706,1,-1195.195372,1,0.948463
-1019.99196-2567.256909,2,0.962426
-1391.37737,1,0-1085.9595-3167.589697,2,0-1452.094-4157.48052,1,0.9-2631.27-2511.368916,1,0.9-3472.25-1800.57215,3,1.019274
-1228.392358,1,1.028253
-3521.900288,1,1.034234
-2205.935136,2,1.047199
-1134.998632,1,1.054182
-3200.146787,2,1.068143
-2575.639046,1,1.075125
-2765.764874,2,1.08809
-2629.441798,2,1.101055
-4302.131029,2,1.113024
-1662.880671,3,1.130975
-2908.751438,1,1.137957
-2124.128915,2,1.152917
-1402.08058,1,1.1589
-3370.058911,2,1.171866
-2089.255128,1,1.178848
-3181.235321,3,1.197832
-1954.328668,1,1.204779
-4650.977814,1,1.211759
-1790.216974,1,1.219738
-1914.328762,1,1.226719
-3994.227177,1,1.233733
-1886.947931,1,1.2-4402.696317,3,1.249657
-2893.83-2783.17236,2,1.26-4639.4-1841.457432,2,1.27-4050.0-2785.273145,1,1.28-3495.053773,2,1.288553
-1686.379844,2,1.301519
-2818.40147,1,1.307504
-2331.77699,2,1.321466
-3472.043936,2,1.334431
-1360.128768,2,1.349391
-3078.568133,2,1.361358
-4073.547503,1,1.367342
-4905.029954,2,1.383301
-1740.804606,2,1.396266
-1573.619857,2,1.40923
-2613.263458,2,1.425192
-4271.583064,2,1.438404
-1180.351131,1,1.444389
-1474.916132,1,1.452385
-5064.687233,1,1.459353
-1541.455456,1,1.466563
-3625.185141,1,1.473548
-3220.229705,2,1.488509
-3925.799726,1,1.494492
-2398.401893,1,1.500476
-1054.826053,1,1.508454
-4396.624665,1,1.514438
-2188.534038,2,1.529875
-3141.868469,3,1.548829
-1957.035545,2,1.562792
-2162.630882,1,1.569773
-2471.610435,2,1.583774
-9005.323919,2,1.596701
-1472.69303,1,1.603681
-1848.816205,1,1.611048
-3664.598387,1,1.618066
-1799.37755,2,1.630998
-1425.422363,1,1.637016
-1541.37986,1,1.643963
-4910.612534,1,1.649948
-2723.390921,1,1.658923
-1302.022993,1,1.665904
-1224.209169,1,1.675879
-3762.819482,2,1.692833
-3630.733338,1,1.699815
-2640.540387,2,1.714775
-1398.410092,1,1.721755
-1063.439777,1,1.729733
-2450.817455,2,1.745692
-1093.221963,1,1.754666
-6869.136611,1,1.761655
-5676.092358,1,1.772621
-1651.684079,1,1.779604
-1513.08363,2,1.795565
